"year","Model","Temperature","RCP"
2091,"ACCESS1_0",21.60800170898,8.5
2092,"ACCESS1_0",21.69190406799,8.5
2093,"ACCESS1_0",21.72778701782,8.5
2094,"ACCESS1_0",21.40377426147,8.5
2095,"ACCESS1_0",21.55897521973,8.5
2096,"ACCESS1_0",22.44565391541,8.5
2097,"ACCESS1_0",22.23643875122,8.5
2098,"ACCESS1_0",21.94015693665,8.5
2099,"ACCESS1_0",21.90441894531,8.5
1901,"ACCESS1_3",18.78909873962,8.5
1902,"ACCESS1_3",18.85680198669,8.5
1903,"ACCESS1_3",17.90285873413,8.5
1904,"ACCESS1_3",17.45328140259,8.5
1905,"ACCESS1_3",17.42055702209,8.5
1906,"ACCESS1_3",17.62627601624,8.5
1907,"ACCESS1_3",18.14586830139,8.5
1908,"ACCESS1_3",17.91812896729,8.5
1909,"ACCESS1_3",18.43684196472,8.5
1910,"ACCESS1_3",17.92204093933,8.5
1911,"ACCESS1_3",18.16848182678,8.5
1912,"ACCESS1_3",18.02067565918,8.5
1913,"ACCESS1_3",18.03604316711,8.5
1914,"ACCESS1_3",18.38484191895,8.5
1915,"ACCESS1_3",18.49039459229,8.5
1916,"ACCESS1_3",18.06549453735,8.5
1917,"ACCESS1_3",18.18258476257,8.5
1918,"ACCESS1_3",18.03425216675,8.5
1919,"ACCESS1_3",18.47263526917,8.5
1920,"ACCESS1_3",18.53232383728,8.5
1921,"ACCESS1_3",18.95235824585,8.5
1922,"ACCESS1_3",18.42462348938,8.5
1923,"ACCESS1_3",18.47523117065,8.5
1924,"ACCESS1_3",18.17335510254,8.5
1925,"ACCESS1_3",18.40878295898,8.5
1926,"ACCESS1_3",18.95369529724,8.5
1927,"ACCESS1_3",18.29713821411,8.5
1928,"ACCESS1_3",18.18369865417,8.5
1929,"ACCESS1_3",18.69675254822,8.5
1930,"ACCESS1_3",18.35087966919,8.5
1931,"ACCESS1_3",17.24038696289,8.5
1932,"ACCESS1_3",17.7614364624,8.5
1933,"ACCESS1_3",17.30196762085,8.5
1934,"ACCESS1_3",17.38684654236,8.5
1935,"ACCESS1_3",17.63390922546,8.5
1936,"ACCESS1_3",18.32106018066,8.5
1937,"ACCESS1_3",17.82120132446,8.5
1938,"ACCESS1_3",17.53609466553,8.5
1939,"ACCESS1_3",17.40043830872,8.5
1940,"ACCESS1_3",18.8835735321,8.5
1941,"ACCESS1_3",18.53346252441,8.5
1942,"ACCESS1_3",18.13827323914,8.5
1943,"ACCESS1_3",18.1131477356,8.5
1944,"ACCESS1_3",18.86343193054,8.5
1945,"ACCESS1_3",18.40047454834,8.5
1946,"ACCESS1_3",18.79824829102,8.5
1947,"ACCESS1_3",18.60714530945,8.5
1948,"ACCESS1_3",18.14113044739,8.5
1949,"ACCESS1_3",18.3423614502,8.5
1950,"ACCESS1_3",18.1914768219,8.5
1951,"ACCESS1_3",17.89921379089,8.5
1952,"ACCESS1_3",18.43414878845,8.5
1953,"ACCESS1_3",18.63102531433,8.5
1954,"ACCESS1_3",17.40302467346,8.5
1955,"ACCESS1_3",17.83923530579,8.5
1956,"ACCESS1_3",17.96778869629,8.5
1957,"ACCESS1_3",17.68977737427,8.5
1958,"ACCESS1_3",17.93602180481,8.5
1959,"ACCESS1_3",18.29231834412,8.5
1960,"ACCESS1_3",18.20013809204,8.5
1961,"ACCESS1_3",18.65135955811,8.5
1962,"ACCESS1_3",17.86371994019,8.5
1963,"ACCESS1_3",18.72307777405,8.5
1964,"ACCESS1_3",18.64190483093,8.5
1965,"ACCESS1_3",18.30562973022,8.5
1966,"ACCESS1_3",18.77509880066,8.5
1967,"ACCESS1_3",18.05309677124,8.5
1968,"ACCESS1_3",17.64912414551,8.5
1969,"ACCESS1_3",18.13483428955,8.5
1970,"ACCESS1_3",18.6054649353,8.5
1971,"ACCESS1_3",18.21138572693,8.5
1972,"ACCESS1_3",18.25952339172,8.5
1973,"ACCESS1_3",18.27894210815,8.5
1974,"ACCESS1_3",18.39370155334,8.5
1975,"ACCESS1_3",18.42833137512,8.5
1976,"ACCESS1_3",18.51309204102,8.5
1977,"ACCESS1_3",18.25062179565,8.5
1978,"ACCESS1_3",18.24616622925,8.5
1979,"ACCESS1_3",17.93630599976,8.5
1980,"ACCESS1_3",18.02210998535,8.5
1981,"ACCESS1_3",17.8097076416,8.5
1982,"ACCESS1_3",17.6477394104,8.5
1983,"ACCESS1_3",18.06706237793,8.5
1984,"ACCESS1_3",18.12243270874,8.5
1985,"ACCESS1_3",17.95903205872,8.5
1986,"ACCESS1_3",18.66276931763,8.5
1987,"ACCESS1_3",18.29531288147,8.5
1988,"ACCESS1_3",18.09375572205,8.5
1989,"ACCESS1_3",17.62162971497,8.5
1990,"ACCESS1_3",18.23937034607,8.5
1991,"ACCESS1_3",18.67458343506,8.5
1992,"ACCESS1_3",18.39329910278,8.5
1993,"ACCESS1_3",17.6168384552,8.5
1994,"ACCESS1_3",17.53574371338,8.5
1995,"ACCESS1_3",17.86833572388,8.5
1996,"ACCESS1_3",17.78237724304,8.5
1997,"ACCESS1_3",18.56403160095,8.5
1998,"ACCESS1_3",18.33657646179,8.5
1999,"ACCESS1_3",18.99637413025,8.5
2000,"ACCESS1_3",18.05272102356,8.5
2001,"ACCESS1_3",18.59316062927,8.5
2002,"ACCESS1_3",19.46709442139,8.5
2003,"ACCESS1_3",18.43578147888,8.5
2004,"ACCESS1_3",19.12210273743,8.5
2005,"ACCESS1_3",19.54497528076,8.5
2006,"ACCESS1_3",19.01726722717,8.5
2007,"ACCESS1_3",18.41184616089,8.5
2008,"ACCESS1_3",18.14101409912,8.5
2009,"ACCESS1_3",18.34141731262,8.5
2010,"ACCESS1_3",18.83736419678,8.5
2011,"ACCESS1_3",18.56778526306,8.5
2012,"ACCESS1_3",18.95592880249,8.5
2013,"ACCESS1_3",18.40613365173,8.5
2014,"ACCESS1_3",19.07049369812,8.5
2015,"ACCESS1_3",18.98916625977,8.5
2016,"ACCESS1_3",18.26193809509,8.5
2017,"ACCESS1_3",18.62212371826,8.5
2018,"ACCESS1_3",19.28570747375,8.5
2019,"ACCESS1_3",18.97797203064,8.5
2020,"ACCESS1_3",18.72805404663,8.5
2021,"ACCESS1_3",18.9866771698,8.5
2022,"ACCESS1_3",19.97604942322,8.5
2023,"ACCESS1_3",19.49484634399,8.5
2024,"ACCESS1_3",19.3377494812,8.5
2025,"ACCESS1_3",19.51925468445,8.5
