% annual mean temperatures over the Northeast US Large Marine Ecosystem from the CMIP-5 ensemble
% provided by James Scott and Mike Alexander, ESRL, May 2017
year	ACCESS1_0	ACCESS1_3	CAN_ESM2	CCSM4	CESM1_BGC	CESM1_CAM5	CMCC_CESM	CMCC_CM	CNRM_CM5	CSIRO_MK3_6_0	GFDL_CM3	GFDL_ESM2G	GFDL_ESM2M	GISS_E2_H	GISS_E2_R	HADGEM2_AO	HADGEM2_CC	HADGEM2_ES	INMCM4	IPSL_CM5A_LR	IPSL_CM5A_MR	IPSL_CM5B_LR	MIROC_ESM	MPI_ESM_LR	MPI_ESM_MR	NORESM1_M	NORESM1_ME
1921	1.802878189087e+01	1.895235824585e+01	1.826445007324e+01	2.002731704712e+01	1.987230682373e+01	1.963199996948e+01	1.527274608612e+01	1.545066738129e+01	1.334155368805e+01	1.330043411255e+01	1.660371971130e+01	1.621960067749e+01	1.552964115143e+01	1.582564926147e+01	1.601434326172e+01	1.500389289856e+01	1.539852428436e+01	1.594193363190e+01	1.716176795959e+01	1.621649169922e+01	1.707380867004e+01	1.401024246216e+01	1.794372558594e+01	1.471279621124e+01	1.477937030792e+01	1.797098922729e+01	1.754471969604e+01
1922	1.828031730652e+01	1.842462348938e+01	1.845023918152e+01	1.975678253174e+01	1.952012443542e+01	1.936208724976e+01	1.524488353729e+01	1.520074844360e+01	1.352272033691e+01	1.493054103851e+01	1.681514549255e+01	1.629435539246e+01	1.515338230133e+01	1.576059627533e+01	1.636949920654e+01	1.669400405884e+01	1.492453098297e+01	1.456918334961e+01	1.744736862183e+01	1.626921081543e+01	1.733885574341e+01	1.327877044678e+01	1.841311645508e+01	1.446350955963e+01	1.549513626099e+01	1.697566413879e+01	1.708758354187e+01
1923	1.801107597351e+01	1.847523117065e+01	1.777965164185e+01	1.964971160889e+01	1.959799385071e+01	1.936335182190e+01	1.543509292603e+01	1.526515579224e+01	1.349198150635e+01	1.511584758759e+01	1.601256752014e+01	1.633476638794e+01	1.478742408752e+01	1.584728336334e+01	1.686287498474e+01	1.631016540527e+01	1.473789978027e+01	1.334031581879e+01	1.731883430481e+01	1.635764312744e+01	1.722272872925e+01	1.392006301880e+01	1.819012451172e+01	1.521107482910e+01	1.486541748047e+01	1.719214820862e+01	1.764397430420e+01
1924	1.771347808838e+01	1.817335510254e+01	1.763841056824e+01	1.961334800720e+01	1.969696235657e+01	1.901543045044e+01	1.574928665161e+01	1.552155017853e+01	1.376182174683e+01	1.468974399567e+01	1.698562049866e+01	1.520068359375e+01	1.482237434387e+01	1.624180793762e+01	1.639765739441e+01	1.528060054779e+01	1.380403900146e+01	1.465397167206e+01	1.732516479492e+01	1.608781623840e+01	1.787540626526e+01	1.245019721985e+01	1.815610504150e+01	1.464169597626e+01	1.391813945770e+01	1.755034828186e+01	1.751814651489e+01
1925	1.680096435547e+01	1.840878295898e+01	1.739554405212e+01	1.985850143433e+01	1.948785781860e+01	1.889754295349e+01	1.619172477722e+01	1.484794616699e+01	1.261574268341e+01	1.422680377960e+01	1.698671340942e+01	1.533548927307e+01	1.487210178375e+01	1.593598365784e+01	1.755216026306e+01	1.607791328430e+01	1.331754016876e+01	1.474206542969e+01	1.697774505615e+01	1.584671592712e+01	1.698780059814e+01	1.295992374420e+01	1.769347763062e+01	1.454548645020e+01	1.482329082489e+01	1.785261535645e+01	1.714402580261e+01
1926	1.690251922607e+01	1.895369529724e+01	1.751486778259e+01	1.950583267212e+01	1.894848823547e+01	1.904340553284e+01	1.601322174072e+01	1.522967720032e+01	1.470398902893e+01	1.477359962463e+01	1.727388572693e+01	1.532710742950e+01	1.575306797028e+01	1.555850028992e+01	1.723497581482e+01	1.570581245422e+01	1.530310249329e+01	1.558371734619e+01	1.682432556152e+01	1.611598587036e+01	1.689929771423e+01	1.223342323303e+01	1.791783714294e+01	1.592518138885e+01	1.487820816040e+01	1.774813652039e+01	1.771308708191e+01
1927	1.678056716919e+01	1.829713821411e+01	1.758923149109e+01	1.943857192993e+01	1.967202568054e+01	1.923424148560e+01	1.514793205261e+01	1.607015037537e+01	1.350585937500e+01	1.473497486115e+01	1.610563087463e+01	1.502937984467e+01	1.499452495575e+01	1.532303810120e+01	1.733466148376e+01	1.575885391235e+01	1.502140140533e+01	1.562026214600e+01	1.741699600220e+01	1.659779357910e+01	1.728730583191e+01	1.336616134644e+01	1.822197914124e+01	1.590283966064e+01	1.465306377411e+01	1.797452545166e+01	1.740639114380e+01
1928	1.706812286377e+01	1.818369865417e+01	1.798656654358e+01	1.949991989136e+01	1.975303840637e+01	1.943652915955e+01	1.628088378906e+01	1.630626678467e+01	1.368535423279e+01	1.373900985718e+01	1.583626651764e+01	1.492264461517e+01	1.524308013916e+01	1.614640808105e+01	1.662440109253e+01	1.618787956238e+01	1.537131500244e+01	1.451739215851e+01	1.727760124207e+01	1.564097785950e+01	1.757331085205e+01	1.367292976379e+01	1.772818565369e+01	1.508362960815e+01	1.436823940277e+01	1.743767547607e+01	1.804872703552e+01
1929	1.808727836609e+01	1.869675254822e+01	1.768719100952e+01	1.954099655151e+01	1.916096305847e+01	1.934239006042e+01	1.487694263458e+01	1.578823375702e+01	1.245597362518e+01	1.386795425415e+01	1.642991828918e+01	1.485790061951e+01	1.567190074921e+01	1.543994140625e+01	1.697747039795e+01	1.541558074951e+01	1.507651710510e+01	1.469780445099e+01	1.688315963745e+01	1.565134716034e+01	1.754862403870e+01	1.304074287415e+01	1.779391479492e+01	1.526635932922e+01	1.488293647766e+01	1.738207817078e+01	1.819825744629e+01
1930	1.684915542603e+01	1.835087966919e+01	1.767518997192e+01	1.994343185425e+01	1.955801773071e+01	1.887562751770e+01	1.495510673523e+01	1.599490261078e+01	1.309553146362e+01	1.410783863068e+01	1.664228439331e+01	1.546847820282e+01	1.528627967834e+01	1.613582420349e+01	1.737924385071e+01	1.592071056366e+01	1.448371696472e+01	1.381602478027e+01	1.670490074158e+01	1.531937503815e+01	1.703259468079e+01	1.287082672119e+01	1.845647621155e+01	1.576374053955e+01	1.410553455353e+01	1.736960220337e+01	1.803795242310e+01
1931	1.764226722717e+01	1.724038696289e+01	1.775826454163e+01	1.979946136475e+01	1.900323295593e+01	1.895013427734e+01	1.530995559692e+01	1.647746276855e+01	1.345629596710e+01	1.384485721588e+01	1.652337646484e+01	1.602450370789e+01	1.563560867310e+01	1.597553730011e+01	1.716328620911e+01	1.615473175049e+01	1.490712928772e+01	1.459392642975e+01	1.664229202271e+01	1.486636638641e+01	1.786627006531e+01	1.270508098602e+01	1.773958778381e+01	1.553033924103e+01	1.428219032288e+01	1.832464981079e+01	1.774750900269e+01
1932	1.653773307800e+01	1.776143646240e+01	1.773717689514e+01	2.001814079285e+01	1.958719062805e+01	1.925578498840e+01	1.536175537109e+01	1.579665756226e+01	1.332873439789e+01	1.466115760803e+01	1.682680892944e+01	1.601562309265e+01	1.538610839844e+01	1.566416931152e+01	1.731211853027e+01	1.636840057373e+01	1.609304809570e+01	1.381813240051e+01	1.642262077332e+01	1.539500522614e+01	1.730102729797e+01	1.227764797211e+01	1.782586097717e+01	1.494245338440e+01	1.391024875641e+01	1.789364242554e+01	1.734378814697e+01
1933	1.694596290588e+01	1.730196762085e+01	1.759847450256e+01	1.989161682129e+01	1.977336883545e+01	1.896413803101e+01	1.508195304871e+01	1.656742858887e+01	1.372342491150e+01	1.421552658081e+01	1.653204727173e+01	1.603707695007e+01	1.552874851227e+01	1.599648284912e+01	1.687578964233e+01	1.496196365356e+01	1.468114948273e+01	1.485699081421e+01	1.668885612488e+01	1.587856674194e+01	1.814470291138e+01	1.315862941742e+01	1.798410224915e+01	1.557157325745e+01	1.357889461517e+01	1.780530548096e+01	1.754924392700e+01
1934	1.638289260864e+01	1.738684654236e+01	1.797437286377e+01	1.949337005615e+01	1.951776313782e+01	1.962879753113e+01	1.539651107788e+01	1.577428245544e+01	1.392128753662e+01	1.432382392883e+01	1.683295059204e+01	1.552775859833e+01	1.658948516846e+01	1.574751281738e+01	1.730629730225e+01	1.603042984009e+01	1.565167522430e+01	1.574940681458e+01	1.705960845947e+01	1.616139411926e+01	1.746982002258e+01	1.405223464966e+01	1.789778327942e+01	1.572458267212e+01	1.396509552002e+01	1.728506469727e+01	1.775975227356e+01
1935	1.672263717651e+01	1.763390922546e+01	1.833498001099e+01	2.001425170898e+01	1.930235099792e+01	1.926382255554e+01	1.536403369904e+01	1.597777366638e+01	1.384214591980e+01	1.434423255920e+01	1.615648651123e+01	1.631450080872e+01	1.567859172821e+01	1.588699150085e+01	1.704936981201e+01	1.542650604248e+01	1.454658889771e+01	1.606895446777e+01	1.793600082397e+01	1.626077651978e+01	1.742834472656e+01	1.405903053284e+01	1.835864639282e+01	1.535303020477e+01	1.456763172150e+01	1.759258651733e+01	1.692649269104e+01
1936	1.689754486084e+01	1.832106018066e+01	1.809663963318e+01	1.982448387146e+01	1.940496635437e+01	1.915947151184e+01	1.508170795441e+01	1.570636081696e+01	1.350361824036e+01	1.468838882446e+01	1.690776062012e+01	1.652005195618e+01	1.518844699860e+01	1.607826805115e+01	1.698759841919e+01	1.590522956848e+01	1.529090309143e+01	1.523102378845e+01	1.638458824158e+01	1.663487815857e+01	1.805958366394e+01	1.248471736908e+01	1.900558662415e+01	1.488601684570e+01	1.434720420837e+01	1.732292556763e+01	1.648624229431e+01
1937	1.708521842957e+01	1.782120132446e+01	1.823308944702e+01	1.974057006836e+01	1.938524246216e+01	1.930593490601e+01	1.530748939514e+01	1.526215934753e+01	1.370559120178e+01	1.375322151184e+01	1.621952056885e+01	1.637841415405e+01	1.519784164429e+01	1.638180732727e+01	1.698594093323e+01	1.615663909912e+01	1.550060367584e+01	1.558550453186e+01	1.683888053894e+01	1.615859031677e+01	1.769248390198e+01	1.237290477753e+01	1.879420661926e+01	1.580235671997e+01	1.314355278015e+01	1.720679473877e+01	1.687941741943e+01
