"stock","year","age","re"
"haddockGOM",2006,"Age 6",0.055915946802596
"haddockGOM",2006,"Age 7",0.0303247114591878
"haddockGOM",2006,"Age 8",0.110232584011564
"haddockGOM",2006,"Age 9",-0.149439712645997
"haddockGOM",2007,"Age 1",0.169980990111588
"haddockGOM",2007,"Age 2",0.0779333257430475
"haddockGOM",2007,"Age 3",-0.0198647261101295
"haddockGOM",2007,"Age 4",0.025090341132044
"haddockGOM",2007,"Age 5",-0.267327217001571
"haddockGOM",2007,"Age 6",-0.20870448440449
"haddockGOM",2007,"Age 7",-0.0676801460520151
"haddockGOM",2007,"Age 8",-0.107808137229714
"haddockGOM",2007,"Age 9",-0.19106652617776
"haddockGOM",2008,"Age 1",-1.18503483616277
"haddockGOM",2008,"Age 2",-0.113583196955851
"haddockGOM",2008,"Age 3",-0.163533023237947
"haddockGOM",2008,"Age 4",-0.0876157255682593
"haddockGOM",2008,"Age 5",0.164830199967899
"haddockGOM",2008,"Age 6",-0.0428976760369872
"haddockGOM",2008,"Age 7",0.230462882350902
"haddockGOM",2008,"Age 8",0.138609592435561
"haddockGOM",2008,"Age 9",-0.0704104689782401
"haddockGOM",2009,"Age 1",-1.3059697399747
"haddockGOM",2009,"Age 2",-0.138670833025773
"haddockGOM",2009,"Age 3",-0.209492505887037
"haddockGOM",2009,"Age 4",-0.17838506646142
"haddockGOM",2009,"Age 5",0.0449939044988836
"haddockGOM",2009,"Age 6",0.103319720674298
"haddockGOM",2009,"Age 7",0.101844276251892
"haddockGOM",2009,"Age 8",0.148979819256032
"haddockGOM",2009,"Age 9",-0.0219083659716839
"haddockGOM",2010,"Age 1",-0.819727973396655
"haddockGOM",2010,"Age 2",-0.183332333073803
"haddockGOM",2010,"Age 3",-0.266505672428347
"haddockGOM",2010,"Age 4",-0.0986615748456918
"haddockGOM",2010,"Age 5",0.393602751586326
"haddockGOM",2010,"Age 6",0.447529955252689
"haddockGOM",2010,"Age 7",0.481658396488329
"haddockGOM",2010,"Age 8",0.30844331506426
"haddockGOM",2010,"Age 9",0.269797464704066
"haddockGOM",2011,"Age 1",0.882879407489603
"haddockGOM",2011,"Age 2",0.424577301698772
"haddockGOM",2011,"Age 3",0.0785669897301595
"haddockGOM",2011,"Age 4",-0.0501268649565167
"haddockGOM",2011,"Age 5",0.121571500594436
"haddockGOM",2011,"Age 6",0.130948512553768
"haddockGOM",2011,"Age 7",0.150081304262905
"haddockGOM",2011,"Age 8",0.0626082343527621
"haddockGOM",2011,"Age 9",0.0328845291833497
"haddockGOM",2012,"Age 1",0.715238878223709
"haddockGOM",2012,"Age 2",1.115223693537
"haddockGOM",2012,"Age 3",0.281378658952146
"haddockGOM",2012,"Age 4",0.428226786925742
"haddockGOM",2012,"Age 5",0.282161719689853
"haddockGOM",2012,"Age 6",0.194280145234996
"haddockGOM",2012,"Age 7",0.0999263567823263
"haddockGOM",2012,"Age 8",0.0476903519237908
"haddockGOM",2012,"Age 9",-0.14850447025275
