"stock","year","age","re"
"wgom",1987,"Age 5",-0.0154492869556808
"wgom",1988,"Age 5",-0.240656565356042
"wgom",1989,"Age 5",-0.328643576459451
"wgom",1990,"Age 5",-0.263617368486941
"wgom",1991,"Age 5",-0.0552837929522685
"wgom",1992,"Age 5",0.279069084786593
"wgom",1993,"Age 5",0.0271694441758878
"wgom",1994,"Age 5",-0.0875872230282857
"wgom",1995,"Age 5",-0.385206460600849
"wgom",1996,"Age 5",-0.34748189528595
"wgom",1997,"Age 5",-0.152666281523071
"wgom",1998,"Age 5",-0.1648763273363
"wgom",1999,"Age 5",0.062678873370241
"wgom",2000,"Age 5",-0.136153463457801
"wgom",2001,"Age 5",-0.124304995377356
"wgom",2002,"Age 5",-0.0741315634736468
"wgom",2003,"Age 5",-0.401722496661066
"wgom",2004,"Age 5",-0.548279945210581
"wgom",2005,"Age 5",-0.460013812623595
"wgom",2006,"Age 5",-0.232432187166451
"wgom",2007,"Age 5",-0.361244403844354
"wgom",2008,"Age 5",-0.548831632057547
"wgom",2009,"Age 5",-0.434360660277436
"wgom",2010,"Age 5",-0.253454724054365
"wgom",2011,"Age 5",-0.130541062159184
"wgom",2012,"Age 5",-0.390738269318877
"wgom",2013,"Age 5",-0.389407867385149
"wgom",2014,"Age 5",-0.346212354512608
"wgom",2015,"Age 5",-0.568745515936572
"wgom",2016,"Age 5",-0.249271484028984
"wgom",2017,"Age 5",-0.366996451815083
"wgom",2018,"Age 5",-0.514888888416856
"wgom",2019,"Age 5",-0.779797309297753
"wgom",2020,"Age 5",-0.789697182544562
"wgom",2021,"Age 5",-0.854763091337152
"wgom",2022,"Age 5",-0.747963582748861
"wgom",2023,"Age 5",-0.35923705648934
"wgom",1981,"Age 6",0
"wgom",1982,"Age 6",0.157505253052753
"wgom",1983,"Age 6",0.13539315520029
"wgom",1984,"Age 6",0.0694287260085238
"wgom",1985,"Age 6",0.0414827935484219
"wgom",1986,"Age 6",0.195415794777897
"wgom",1987,"Age 6",0.18370762545848
"wgom",1988,"Age 6",0.0588004047594497
"wgom",1989,"Age 6",-0.0891037055410688
"wgom",1990,"Age 6",-0.0204146919136905
"wgom",1991,"Age 6",-0.00403543539964968
"wgom",1992,"Age 6",0.119258751101978
"wgom",1993,"Age 6",-0.0615595227448358
"wgom",1994,"Age 6",-0.0382289526332
"wgom",1995,"Age 6",-0.200455124002236
"wgom",1996,"Age 6",-0.33495571651889
"wgom",1997,"Age 6",-0.279537540170467
"wgom",1998,"Age 6",-0.133003988878039
"wgom",1999,"Age 6",0.118011280829648
"wgom",2000,"Age 6",0.12612687309919
"wgom",2001,"Age 6",0.225919455597229
"wgom",2002,"Age 6",0.0197819243824178
"wgom",2003,"Age 6",-0.297363104698182
"wgom",2004,"Age 6",-0.527520081770989
"wgom",2005,"Age 6",-0.0455264712102013
"wgom",2006,"Age 6",0.141844273976462
"wgom",2007,"Age 6",-0.102734736849138
"wgom",2008,"Age 6",-0.361502502877237
"wgom",2009,"Age 6",-0.482199449352821
"wgom",2010,"Age 6",-0.424249359699655
"wgom",2011,"Age 6",-0.250515192600443
"wgom",2012,"Age 6",-0.629285464734299
"wgom",2013,"Age 6",-0.641668563981026
"wgom",2014,"Age 6",-0.418613418910079
"wgom",2015,"Age 6",-0.407229857571769
"wgom",2016,"Age 6",-0.321750629522632
"wgom",2017,"Age 6",-0.240583083457961
"wgom",2018,"Age 6",-0.365525360442633
"wgom",2019,"Age 6",-0.344224309433852
"wgom",2020,"Age 6",-0.531111733889432
"wgom",2021,"Age 6",-0.424707298323083
"wgom",2022,"Age 6",-0.344539691715849
"wgom",2023,"Age 6",-0.13878873131281
"wgom",1981,"Age 7",0
"wgom",1982,"Age 7",0.189340798847947
"wgom",1983,"Age 7",0.266146861817254
"wgom",1984,"Age 7",0.216593741903484
"wgom",1985,"Age 7",0.195425853113489
"wgom",1986,"Age 7",0.350840911374955
"wgom",1987,"Age 7",0.291152242958993
"wgom",1988,"Age 7",0.222318790458213
"wgom",1989,"Age 7",0.190182397525244
"wgom",1990,"Age 7",0.201622822052546
"wgom",1991,"Age 7",0.220082001151767
"wgom",1992,"Age 7",0.30152096996447
"wgom",1993,"Age 7",0.212031823349753
"wgom",1994,"Age 7",0.164551155005187
"wgom",1995,"Age 7",0.100276140163248
"wgom",1996,"Age 7",0.0285484526129882
"wgom",1997,"Age 7",0.0701201567579401
"wgom",1998,"Age 7",0.195959801609021
"wgom",1999,"Age 7",0.38849349061242
"wgom",2000,"Age 7",0.391433672841788
"wgom",2001,"Age 7",0.464275559071313
"wgom",2002,"Age 7",0.201965326350082
"wgom",2003,"Age 7",-0.199224640887519
"wgom",2004,"Age 7",-0.334990141775513
"wgom",2005,"Age 7",-0.222348723810245
"wgom",2006,"Age 7",-0.152145885603291
"wgom",2007,"Age 7",-0.258165496650821
"wgom",2008,"Age 7",-0.488421303599585
"wgom",2009,"Age 7",-0.474954807928617
"wgom",2010,"Age 7",-0.527556486067076
"wgom",2011,"Age 7",-0.483719869173948
"wgom",2012,"Age 7",-0.543231349458518
"wgom",2013,"Age 7",-0.463354571816479
"wgom",2014,"Age 7",-0.17684073546582
"wgom",2015,"Age 7",-0.0758180373119139
"wgom",2016,"Age 7",-0.0425269307760741
"wgom",2017,"Age 7",-0.335875666282126
"wgom",2018,"Age 7",-0.450654579008678
"wgom",2019,"Age 7",-0.589673313990899
"wgom",2020,"Age 7",-0.575385355288391
"wgom",2021,"Age 7",-0.47744505900266
"wgom",2022,"Age 7",-0.418741410249543
"wgom",2023,"Age 7",-0.248066573014567
"wgom",1981,"Age 8",0
"wgom",1982,"Age 8",0.362017426700798
"wgom",1983,"Age 8",0.447450068153964
"wgom",1984,"Age 8",0.430473439140576
"wgom",1985,"Age 8",0.417225133038019
"wgom",1986,"Age 8",0.450614330117056
"wgom",1987,"Age 8",0.403510134622912
"wgom",1988,"Age 8",0.323614614871232
"wgom",1989,"Age 8",0.31170213134128
"wgom",1990,"Age 8",0.373482057495682
"wgom",1991,"Age 8",0.415370304779018
"wgom",1992,"Age 8",0.501919516878779
"wgom",1993,"Age 8",0.45070771825756
"wgom",1994,"Age 8",0.359428338111242
"wgom",1995,"Age 8",0.144621135990688
"wgom",1996,"Age 8",0.108162827793992
"wgom",1997,"Age 8",0.186919709918729
"wgom",1998,"Age 8",0.303072611628993
"wgom",1999,"Age 8",0.358715102449617
"wgom",2000,"Age 8",0.340488450994972
"wgom",2001,"Age 8",0.342218287139493
"wgom",2002,"Age 8",0.148552994912952
"wgom",2003,"Age 8",-0.111347471346924
"wgom",2004,"Age 8",-0.315954887581973
"wgom",2005,"Age 8",-0.204304376308809
"wgom",2006,"Age 8",-0.215321613929135
"wgom",2007,"Age 8",-0.374821478863999
"wgom",2008,"Age 8",-0.415600174723991
"wgom",2009,"Age 8",-0.421212987304327
"wgom",2010,"Age 8",-0.310073348065195
"wgom",2011,"Age 8",-0.280402578127634
"wgom",2012,"Age 8",-0.348117263963933
"wgom",2013,"Age 8",-0.254810932395599
"wgom",2014,"Age 8",-0.125676577717027
"wgom",2015,"Age 8",-0.0651642215264183
"wgom",2016,"Age 8",-0.0181039066728581
"wgom",2017,"Age 8",-0.184939081731418
"wgom",2018,"Age 8",-0.205796023751675
"wgom",2019,"Age 8",-0.244937619715567
"wgom",2020,"Age 8",-0.270018937225518
"wgom",2021,"Age 8",-0.249724841744134
"wgom",2022,"Age 8",-0.203106281673534
"wgom",2023,"Age 8",-0.125773764155028
"wgom",1981,"Age 9",0
"wgom",1982,"Age 9",0.213569313646104
"wgom",1983,"Age 9",0.339939892090997
"wgom",1984,"Age 9",0.366964094872112
"wgom",1985,"Age 9",0.334627692786854
"wgom",1986,"Age 9",0.288923355027741
"wgom",1987,"Age 9",0.163970679720228
"wgom",1988,"Age 9",0.124285226367393
"wgom",1989,"Age 9",0.158819844877456
"wgom",1990,"Age 9",0.256762920371751
"wgom",1991,"Age 9",0.312286984154732
"wgom",1992,"Age 9",0.43619718449786
"wgom",1993,"Age 9",0.468246865149855
"wgom",1994,"Age 9",0.392389668095992
"wgom",1995,"Age 9",0.196471197556098
"wgom",1996,"Age 9",0.0829409467059188
"wgom",1997,"Age 9",0.14470647076935
"wgom",1998,"Age 9",0.242269345085391
"wgom",1999,"Age 9",0.309587884497335
"wgom",2000,"Age 9",0.298258514516965
"wgom",2001,"Age 9",0.29224825392439
"wgom",2002,"Age 9",0.163582111375328
"wgom",2003,"Age 9",-0.000374492274588967
"wgom",2004,"Age 9",-0.180852118367612
"wgom",2005,"Age 9",-0.226268661308508
"wgom",2006,"Age 9",-0.254333774803364
"wgom",2007,"Age 9",-0.387061181137596
"wgom",2008,"Age 9",-0.407163185224396
"wgom",2009,"Age 9",-0.448975338478018
"wgom",2010,"Age 9",-0.460348347511538
"wgom",2011,"Age 9",-0.452706368428534
"wgom",2012,"Age 9",-0.580317055142553
"wgom",2013,"Age 9",-0.547794588960782
"wgom",2014,"Age 9",-0.44934844218529
"wgom",2015,"Age 9",-0.436110059456061
"wgom",2016,"Age 9",-0.455804248828769
"wgom",2017,"Age 9",-0.545586913485976
"wgom",2018,"Age 9",-0.487029903543573
"wgom",2019,"Age 9",-0.499614357374288
"wgom",2020,"Age 9",-0.517871582541611
"wgom",2021,"Age 9",-0.505949890981662
"wgom",2022,"Age 9",-0.381736334921962
"wgom",2023,"Age 9",-0.260545509999803
