	coefficient	
Other:das_price_mean	 .00085017	
Other:das_price_mean_len	-.00252473	
Other:_cons	-5.4253212	
Pollock:wkly_crew_wage	-.93937165	
Pollock:len	 3.7443826	
Pollock:fuelprice	 .60249902	
Pollock:fuelprice_len	-1.1151098	
Pollock:das_price_mean	-.00507256	
Pollock:das_price_mean_len	 .00411929	
Pollock:_cons	-5.0097524	
RedSilverOffshoreHake:wkly_crew_wage	-.75063306	
RedSilverOffshoreHake:len	  4.489533	
RedSilverOffshoreHake:fuelprice	 .68048496	
RedSilverOffshoreHake:fuelprice_len	-.96327915	
RedSilverOffshoreHake:das_price_mean	-.00044778	
RedSilverOffshoreHake:das_price_mean_len	  .0004489	
RedSilverOffshoreHake:_cons	 -7.166037	
Redfish:wkly_crew_wage	 .38512046	
Redfish:len	 8.6785704	
Redfish:fuelprice	 .66060063	
Redfish:fuelprice_len	-.59456632	
Redfish:das_price_mean	 -.0073853	
Redfish:das_price_mean_len	  .0057736	
Redfish:_cons	-12.421189	
SeaScallop:wkly_crew_wage	-.38966938	
SeaScallop:len	-3.5944757	
SeaScallop:fuelprice	 .30149764	
SeaScallop:fuelprice_len	 -.6944905	
SeaScallop:das_price_mean	 -.0014432	
SeaScallop:das_price_mean_len	 .00455714	
SeaScallop:_cons	-2.7673857	
SquidMackerelButterfishHerring:wkly_crew_wage	-.08700687	
SquidMackerelButterfishHerring:len	  1.665457	
SquidMackerelButterfishHerring:fuelprice	 .42452938	
SquidMackerelButterfishHerring:fuelprice_len	-.40844392	
SquidMackerelButterfishHerring:das_price_mean	 .00112617	
SquidMackerelButterfishHerring:das_price_mean_len	-.00068282	
SquidMackerelButterfishHerring:_cons	-6.6581386	
SummerFlounder:wkly_crew_wage	 .33485008	
SummerFlounder:len	 5.3951117	
SummerFlounder:fuelprice	 .26459731	
SummerFlounder:fuelprice_len	-.70446213	
SummerFlounder:das_price_mean	 .00175835	
SummerFlounder:das_price_mean_len	-.00511351	
SummerFlounder:_cons	-7.0153571	
WhiteHake:wkly_crew_wage	-.74651767	
WhiteHake:len	 2.0951616	
WhiteHake:fuelprice	-.39682107	
WhiteHake:fuelprice_len	 .06656143	
WhiteHake:das_price_mean	 .00077581	
WhiteHake:das_price_mean_len	-.00143783	
WhiteHake:_cons	-4.7784229	
WinterFlounderGB:wkly_crew_wage	-.39330671	
WinterFlounderGB:len	 4.3031357	
WinterFlounderGB:fuelprice	 .28471333	
WinterFlounderGB:fuelprice_len	 .03896788	
WinterFlounderGB:das_price_mean	-.00045693	
WinterFlounderGB:das_price_mean_len	  .0008991	
WinterFlounderGB:_cons	-8.5246954	
WinterFlounderGOM:wkly_crew_wage	 .35768534	
WinterFlounderGOM:len	-1.4447215	
WinterFlounderGOM:fuelprice	-.08318691	
WinterFlounderGOM:fuelprice_len	 .38936697	
WinterFlounderGOM:das_price_mean	  .0007495	
WinterFlounderGOM:das_price_mean_len	-.00286856	
WinterFlounderGOM:_cons	-5.8395066	
WitchFlounder:wkly_crew_wage	  .0257584	
WitchFlounder:len	 6.9753342	
WitchFlounder:fuelprice	 .60443109	
WitchFlounder:fuelprice_len	-1.1409418	
WitchFlounder:das_price_mean	 .00272034	
WitchFlounder:das_price_mean_len	-.00609907	
WitchFlounder:_cons	-8.5034326	
YellowtailFlounderCCGOM:wkly_crew_wage	 1.6717304	
YellowtailFlounderCCGOM:len	 4.1539877	
YellowtailFlounderCCGOM:fuelprice	 .67008922	
YellowtailFlounderCCGOM:fuelprice_len	-1.4546189	
YellowtailFlounderCCGOM:das_price_mean	-.00123951	
YellowtailFlounderCCGOM:das_price_mean_len	-.00006535	
YellowtailFlounderCCGOM:_cons	-9.7309626	
YellowtailFlounderGB:wkly_crew_wage	 -.0022944	
YellowtailFlounderGB:len	 6.5464921	
YellowtailFlounderGB:fuelprice	 -.0009098	
YellowtailFlounderGB:fuelprice_len	-.15366002	
YellowtailFlounderGB:das_price_mean	 .00210742	
YellowtailFlounderGB:das_price_mean_len	-.00428733	
YellowtailFlounderGB:_cons	-8.5912561	
YellowtailFlounderSNEMA:wkly_crew_wage	-.33063374	
YellowtailFlounderSNEMA:len	-.19538049	
YellowtailFlounderSNEMA:fuelprice	 .59890013	
YellowtailFlounderSNEMA:fuelprice_len	-.37530264	
YellowtailFlounderSNEMA:das_price_mean	-.00168934	
YellowtailFlounderSNEMA:das_price_mean_len	 .00002512	
YellowtailFlounderSNEMA:_cons	-6.2705982	
