"","Stock","Total","Commercial","Sector","Common Pool","Recreational","Herring Fishery","Scallop Fishery","State Water","Other","Year","Small Mesh","data_type"
"1","GB cod",NA,NA,NA,84,NA,NA,NA,27.7,171.4,2010,NA,"Catch"
"2","GOM cod",NA,NA,NA,226,NA,NA,NA,190.3,57.8,2010,NA,"Catch"
"3","GB Haddock",NA,NA,NA,92.2,NA,69.2,NA,1.6,131,2010,NA,"Catch"
"4","GOM Haddock",784.6,774,370.5,7.1,396.3,0.5,NA,8.5,1.6,2010,NA,"Catch"
"5","GB Yellowtail Flounder",809.7,757.6,739,18.6,NA,NA,17.6,0,34.4,2010,NA,"Catch"
"6","SNE Yellowtail Flounder",314.7,171.9,152.5,19.4,NA,NA,113,6.7,23.1,2010,NA,"Catch"
"7","CC/GOM Yellowtail Flounder",671.4,596.7,559.8,36.9,NA,NA,NA,33.2,41.6,2010,NA,"Catch"
"8","Plaice",NA,NA,NA,32.8,NA,NA,NA,25.1,46.2,2010,NA,"Catch"
"9","Witch Flounder",832.5,725.3,695.4,30,NA,NA,NA,23.5,83.7,2010,NA,"Catch"
"10","GB Winter Flounder",NA,NA,NA,8.8,NA,NA,NA,0,140.1,2010,NA,"Catch"
"11","GOM Winter Flounder",193.5,106.1,80.7,25.4,NA,NA,NA,64.2,23.2,2010,NA,"Catch"
"12","SNE Winter Flounder",370.1,47.4,42.3,5.1,NA,NA,NA,181,141.8,2010,NA,"Catch"
"13","Redfish",NA,NA,NA,7.9,NA,NA,NA,10.5,5.2,2010,NA,"Catch"
"14","White Hake",NA,NA,NA,44.2,NA,NA,NA,25.3,59.6,2010,NA,"Catch"
"15","Pollock",NA,NA,NA,151.2,NA,NA,NA,NA,871.1,2010,NA,"Catch"
"16","Northern Windowpane",162.6,153.5,151.7,1.8,NA,NA,NA,0,9.1,2010,NA,"Catch"
"17","Southern Windowpane",534.9,73.6,52.7,20.9,NA,NA,NA,31,430.3,2010,NA,"Catch"
"18","Ocean Pout",102.4,65.2,56.5,8.7,NA,NA,NA,0,37.1,2010,NA,"Catch"
"19","Halibut",36.2,27.8,25.6,2.2,NA,NA,NA,6.6,1.8,2010,NA,"Catch"
"20","Wolffish",22.5,22.4,18.9,3.5,NA,NA,NA,0,0.1,2010,NA,"Catch"
"21","GB cod",NA,NA,NA,61.5,NA,NA,NA,38.9,90.2,2011,NA,"Catch"
"22","GOM cod",NA,NA,NA,93.4,NA,NA,NA,216.4,28.8,2011,NA,"Catch"
"23","GB Haddock",NA,NA,NA,11.7,NA,101.8,NA,3.9,305.8,2011,NA,"Catch"
"24","GOM Haddock",737.6,724.1,483.7,1.9,238.5,0.2,NA,4.9,8.4,2011,NA,"Catch"
"25","GB Yellowtail Flounder",NA,990,988,2,NA,NA,83.9,0,43.2,2011,NA,"Catch"
"26","SNE/MA Yellowtail Flounder",514.9,376.2,364,12.2,NA,NA,110.9,1.1,26.7,2011,NA,"Catch"
"27","CC/GOM Yellowtail Flounder",853.1,806.5,795.1,11.4,NA,NA,NA,38.5,8.1,2011,NA,"Catch"
"28","Plaice",NA,NA,NA,4.5,NA,NA,NA,12.1,12.6,2011,NA,"Catch"
"29","Witch Flounder",NA,997.1,992.9,4.2,NA,NA,NA,22.5,166.4,2011,NA,"Catch"
"30","GB Winter Flounder",NA,NA,NA,1.1,NA,NA,NA,0,59.4,2011,NA,"Catch"
"31","GOM Winter Flounder",287.3,160.8,158.2,2.6,NA,NA,NA,113.3,13.2,2011,NA,"Catch"
"32","SNE/MA Winter Flounder",298.7,93.9,86.9,7,NA,NA,NA,40,164.9,2011,NA,"Catch"
"33","Redfish",NA,NA,NA,3.6,NA,NA,NA,3.6,10.2,2011,NA,"Catch"
"34","White Hake",NA,NA,NA,14.1,NA,NA,NA,2.6,4.4,2011,NA,"Catch"
"35","Pollock",NA,NA,NA,69.2,NA,NA,NA,694,757.6,2011,NA,"Catch"
"36","Northern Windowpane",191.3,156.5,156.2,0.3,NA,NA,NA,0,34.8,2011,NA,"Catch"
"37","Southern Windowpane",504.1,111.5,83,28.5,NA,NA,NA,16.6,376,2011,NA,"Catch"
"38","Ocean Pout",90.2,60.7,56.3,4.4,NA,NA,NA,0,29.5,2011,NA,"Catch"
"39","Halibut",52.1,42.6,41.4,1.2,NA,NA,NA,7.1,2.5,2011,NA,"Catch"
"40","Wolffish",33,32.9,32.2,0.7,NA,NA,NA,0,0.1,2011,NA,"Catch"
"41","GB cod",NA,NA,NA,28.656,NA,NA,NA,21.5,80.9,2012,NA,"Catch"
"42","GOM cod",NA,NA,NA,29.9,NA,NA,NA,44.6,4.3,2012,NA,"Catch"
"43","GB Haddock",NA,NA,NA,0.5,NA,288.6,NA,14.2,25.1,2012,NA,"Catch"
"44","GOM Haddock",530,526.7,245.1,0.9,280.7,0.1,NA,1.7,1.6,2012,NA,"Catch"
"45","GB Yellowtail Flounder",384.9,215.5,215.2,0.3,NA,NA,164,0,5.4,2012,NA,"Catch"
"46","SNE/MA Yellowtail Flounder",593.5,463,425.6,37.4,NA,NA,54,12,64.6,2012,NA,"Catch"
"47","CC/GOM Yellowtail Flounder",NA,957.6,954.3,3.2,NA,NA,NA,33.7,20.9,2012,NA,"Catch"
"48","Plaice",NA,NA,NA,3.3,NA,NA,NA,15.3,22.8,2012,NA,"Catch"
"49","Witch Flounder",NA,983.3,981,2.3,NA,NA,NA,28.2,162.5,2012,NA,"Catch"
"50","GB Winter Flounder",NA,NA,NA,0.8,NA,NA,NA,0,125.9,2012,NA,"Catch"
"51","GOM Winter Flounder",322.8,260,258,2,NA,NA,NA,60.2,2.6,2012,NA,"Catch"
"52","SNE/MA Winter Flounder*",315.9,106,104.8,1.1,NA,NA,NA,58.9,151,2012,NA,"Catch"
"53","Redfish",NA,NA,NA,5.6,NA,NA,NA,13.4,3.1,2012,NA,"Catch"
"54","White Hake",NA,NA,NA,23.8,NA,NA,NA,2.8,12,2012,NA,"Catch"
"55","Pollock",NA,NA,NA,67.8,NA,NA,NA,532.3,NA,2012,NA,"Catch"
"56","Northern Windowpane",208.9,129.6,129.5,0.1,NA,NA,NA,2.3,77,2012,NA,"Catch"
"57","Southern Windowpane",520.9,106.5,95.9,10.6,NA,NA,NA,34.4,380,2012,NA,"Catch"
"58","Ocean Pout",53.2,39.1,35.4,3.6,NA,NA,NA,1.2,13,2012,NA,"Catch"
"59","Halibut",75.7,60.7,57.4,3.3,NA,NA,NA,13.3,1.7,2012,NA,"Catch"
"60","Wolffish",32.4,30.2,30,0.1,NA,NA,NA,1,1.2,2012,NA,"Catch"
"61","GB Cod",NA,NA,NA,32.3,NA,NA,NA,9.2,34.2,2013,NA,"Catch"
"62","GOM cod",NA,NA,732,8.8,639.3,NA,NA,35.8,2.9,2013,NA,"Catch"
"63","GB Haddock",NA,NA,NA,0.4,NA,290,NA,6.1,56.5,2013,NA,"Catch"
"64","GOM Haddock",405.7,402.9,169.2,2.2,231.5,0,NA,1.3,1.6,2013,NA,"Catch"
"65","GB Yellowtail Flounder",93.3,55.8,55.8,0,NA,NA,37.5,0,0,2013,2.5,"Catch"
"66","SNE/MA Yellowtail Flounder",466.1,373.3,281.9,91.4,NA,NA,48.6,14.5,29.8,2013,NA,"Catch"
"67","CC/GOM Yellowtail Flounder",453.1,380.5,376.5,4.1,NA,NA,NA,42.8,29.7,2013,NA,"Catch"
"68","Plaice",NA,NA,NA,3.6,NA,NA,NA,19.6,29.8,2013,NA,"Catch"
"69","Witch Flounder",745.2,642.3,638.9,3.4,NA,NA,NA,27.1,75.8,2013,NA,"Catch"
"70","GB Winter Flounder",NA,NA,NA,0,NA,NA,NA,0,41,2013,NA,"Catch"
"71","GOM Winter Flounder",245.6,169.3,167.6,1.7,NA,NA,NA,67.4,8.9,2013,NA,"Catch"
"72","SNE/MA Winter Flounder",NA,788.6,670.4,118.3,NA,NA,NA,55.7,181.6,2013,NA,"Catch"
"73","Redfish",NA,NA,NA,4.4,NA,NA,NA,19,3.9,2013,NA,"Catch"
"74","White Hake",NA,NA,NA,5.8,NA,NA,NA,2.3,8.3,2013,NA,"Catch"
"75","Pollock",NA,NA,NA,36.5,NA,NA,NA,981.7,NA,2013,NA,"Catch"
"76","Northern Windowpane",280.1,237.5,237.3,0.2,NA,NA,NA,0.9,41.6,2013,NA,"Catch"
"77","Southern Windowpane",554.7,115.9,86,30,NA,NA,129.1,37.3,272.4,2013,NA,"Catch"
"78","Ocean Pout",59.3,33.2,27.3,5.9,NA,NA,NA,1.5,24.6,2013,NA,"Catch"
"79","Halibut",79,54.7,53.8,0.9,NA,NA,NA,22.8,1.5,2013,NA,"Catch"
"80","Wolffish",19.1,17.1,17.1,0,NA,NA,NA,1.3,0.7,2013,NA,"Catch"
"81","GB Cod",NA,NA,NA,22,NA,NA,NA,19.5,108.6,2014,NA,"Catch"
"82","GOM cod",NA,NA,652.2,11.1,623.3,NA,NA,38.2,70.2,2014,NA,"Catch"
"83","GB Haddock",NA,NA,NA,0.8,NA,113.5,NA,8.1,793.4,2014,NA,"Catch"
"84","GOM Haddock",NA,983.3,323.8,0.9,658.6,NA,NA,4.8,31.1,2014,NA,"Catch"
"85","GB Yellowtail Flounder",122.8,62.5,62.4,0.1,NA,NA,59.3,NA,0,2014,1.1,"Catch"
"86","SNE/MA Yellowtail Flounder",497.1,400.4,313,87.4,NA,NA,64.8,0.6,31.3,2014,NA,"Catch"
"87","CC/GOM Yellowtail Flounder",335.1,250.5,249.4,1,NA,NA,NA,45.8,38.9,2014,NA,"Catch"
"88","Plaice",NA,NA,NA,8.1,NA,NA,NA,17.5,23.8,2014,NA,"Catch"
"89","Witch Flounder",624,515.4,514.2,1.2,NA,NA,NA,38.3,70.4,2014,NA,"Catch"
"90","GB Winter Flounder",NA,NA,NA,0,NA,NA,NA,NA,43.8,2014,NA,"Catch"
"91","GOM Winter Flounder",240.8,124.3,123.7,0.6,NA,NA,NA,113.3,3.2,2014,NA,"Catch"
"92","SNE/MA Winter Flounder",703.2,545.8,489.9,55.9,NA,NA,NA,71.1,86.3,2014,NA,"Catch"
"93","Redfish",NA,NA,NA,5,NA,NA,NA,18.1,43.5,2014,NA,"Catch"
"94","White Hake",NA,NA,NA,8.5,NA,NA,NA,1.5,308,2014,NA,"Catch"
"95","Pollock",NA,NA,NA,44.8,NA,NA,NA,542.9,194.4,2014,NA,"Catch"
"96","Northern Windowpane",269.3,157.7,157.4,0.3,NA,NA,NA,2.7,108.9,2014,NA,"Catch"
"97","Southern Windowpane",478,96.3,68.2,28.1,NA,NA,140,23.4,218.2,2014,NA,"Catch"
"98","Ocean Pout",120.2,33.1,30.8,2.3,NA,NA,NA,3.9,83.2,2014,NA,"Catch"
"99","Halibut",78.6,47.8,45.9,1.9,NA,NA,NA,28.7,2.1,2014,NA,"Catch"
"100","Wolffish",15.1,14.3,14.3,NA,NA,NA,NA,0.7,0.2,2014,NA,"Catch"
"101","GB Cod",NA,NA,NA,35.8,NA,NA,NA,45.5,153,2015,NA,"Catch"
"102","GOM Cod",324.8,270.9,181.6,4.8,84.5,NA,NA,46.4,7.5,2015,NA,"Catch"
"103","GB Haddock",NA,NA,NA,0.3,NA,235.5,NA,25,668.3,2015,NA,"Catch"
"104","GOM Haddock",NA,NA,726.2,3.1,381.9,NA,NA,4,24.6,2015,NA,"Catch"
"105","GB Yellowtail Flounder",68.2,38.4,38.4,0,NA,NA,29.8,NA,0,2015,0.1,"Catch"
"106","SNE/MA Yellowtail Flounder",326.6,283.5,174.4,109.2,NA,NA,34.6,2.2,6.3,2015,NA,"Catch"
"107","CC/GOM Yellowtail Flounder",465.6,385.1,371.7,13.4,NA,NA,NA,52.6,27.9,2015,NA,"Catch"
"108","Plaice",NA,NA,NA,13.9,NA,NA,NA,23.3,21.8,2015,NA,"Catch"
"109","Witch Flounder",639.4,536.9,523.2,13.8,NA,NA,NA,40.2,62.3,2015,NA,"Catch"
"110","GB Winter Flounder",886.5,868.8,868.8,0,NA,NA,NA,NA,17.7,2015,NA,"Catch"
"111","GOM Winter Flounder",205.8,121,117.6,3.5,NA,NA,NA,79.8,5,2015,NA,"Catch"
"112","SNE/MA Winter Flounder",886.7,688,583.4,104.6,NA,NA,NA,85.2,113.5,2015,NA,"Catch"
"113","Redfish",NA,NA,NA,0.3,NA,NA,NA,4.3,2.8,2015,NA,"Catch"
"114","White Hake",NA,NA,NA,0.3,NA,NA,NA,0.7,6.8,2015,NA,"Catch"
"115","Pollock",NA,NA,NA,47,NA,NA,NA,441.5,629.7,2015,NA,"Catch"
"116","Northern Windowpane",189.8,73.6,73.6,0,NA,NA,NA,1.3,114.9,2015,NA,"Catch"
"117","Southern Windowpane",643.4,137.6,90.4,47.2,NA,NA,210.6,39.1,256.1,2015,NA,"Catch"
"118","Ocean Pout",76.3,52.3,44.1,8.2,NA,NA,NA,1.7,22.3,2015,NA,"Catch"
"119","Halibut",102,59,58.5,0.4,NA,NA,NA,41.1,1.9,2015,NA,"Catch"
"120","Wolffish",19.7,18.7,18.7,NA,NA,NA,NA,0.7,0.4,2015,NA,"Catch"
"121","GB Cod",NA,596.6,582.3,14.3,NA,NA,NA,77.5,458,2016,NA,"Catch"
"122","GOM Cod",633.7,547.4,260.4,6.1,280.9,NA,NA,77.3,9,2016,NA,"Catch"
"123","GB Haddock",NA,NA,NA,1,NA,118.9,NA,14.1,266.4,2016,NA,"Catch"
"124","GOM Haddock",NA,NA,NA,10.4,887,1.9,NA,9.2,98.5,2016,NA,"Catch"
"125","GB Yellowtail Flounder",30.7,23.9,23.9,NA,NA,NA,2.1,NA,0,2016,4.8,"Catch"
"126","SNE/MA Yellowtail Flounder",84.7,62.5,44.5,18,NA,NA,10.7,0.7,10.8,2016,NA,"Catch"
"127","CC/GOM Yellowtail Flounder",360.4,261,248.8,12.1,NA,NA,NA,50.8,48.7,2016,NA,"Catch"
"128","Plaice",NA,NA,NA,17.4,NA,NA,NA,36,33.7,2016,NA,"Catch"
"129","Witch Flounder",460.3,358.8,351.4,7.4,NA,NA,NA,46.2,55.2,2016,NA,"Catch"
"130","GB Winter Flounder",426.9,422.6,422.6,NA,NA,NA,NA,NA,4.3,2016,NA,"Catch"
"131","GOM Winter Flounder",247.7,111.9,109.2,2.7,NA,NA,NA,130.7,5.1,2016,NA,"Catch"
"132","SNE/MA Winter Flounder",597.2,453.3,396.6,56.7,NA,NA,NA,26.1,117.8,2016,NA,"Catch"
"133","Redfish",NA,NA,NA,0.4,NA,NA,NA,4.7,8.8,2016,NA,"Catch"
"134","White Hake",NA,NA,NA,0.7,NA,NA,NA,1.2,10,2016,NA,"Catch"
"135","Pollock",NA,NA,NA,23.6,NA,NA,NA,631.9,381.8,2016,NA,"Catch"
"136","Northern Windowpane",83.7,45,45,0,NA,NA,NA,0.7,37.9,2016,NA,"Catch"
"137","Southern Windowpane",417.2,126.7,108.3,18.4,NA,NA,84.4,28,178.1,2016,NA,"Catch"
"138","Ocean Pout",43.3,17.1,16.3,0.8,NA,NA,NA,0.4,25.8,2016,NA,"Catch"
"139","Halibut",108,56.9,56.7,0.2,NA,NA,NA,47.8,3.3,2016,NA,"Catch"
"140","Wolffish",0.8,0.6,0.6,0,NA,NA,NA,0,0.2,2016,NA,"Catch"
"141","GB Cod",522.5,446,439.5,6.4,NA,NA,NA,9.7,66.8,2017,NA,"Catch"
"142","GOM Cod",612.6,514.3,260.6,8.2,245.4,NA,NA,69.5,28.9,2017,NA,"Catch"
"143","GB Haddock",NA,NA,NA,0.3,NA,47.9,NA,12.3,180,2017,NA,"Catch"
"144","GOM Haddock",NA,NA,NA,14.1,795,NA,NA,29.4,56.2,2017,NA,"Catch"
"145","GB Yellowtail Flounder",84,31,31,NA,NA,NA,52.6,NA,0,2017,0.4,"Catch"
"146","SNE/MA Yellowtail Flounder",24.4,14.5,10.5,4,NA,NA,4.3,1.1,4.6,2017,NA,"Catch"
"147","CC/GOM Yellowtail Flounder",311.5,205.7,196.3,9.4,NA,NA,NA,71.9,33.9,2017,NA,"Catch"
"148","Plaice",NA,NA,NA,9.3,NA,NA,NA,36.6,18,2017,NA,"Catch"
"149","Witch Flounder",591.2,494.7,486.5,8.2,NA,NA,NA,49.7,46.8,2017,NA,"Catch"
"150","GB Winter Flounder",390.9,377.6,377.6,NA,NA,NA,NA,NA,13.3,2017,NA,"Catch"
"151","GOM Winter Flounder",308.1,113.8,111,2.8,NA,NA,NA,185.3,9,2017,NA,"Catch"
"152","SNE/MA Winter Flounder",550.5,409.3,372,37.2,NA,NA,NA,23.2,118,2017,NA,"Catch"
"153","Redfish",NA,NA,NA,1,NA,NA,NA,4.1,9.9,2017,NA,"Catch"
"154","White Hake",NA,NA,NA,0.5,NA,NA,NA,1.2,11,2017,NA,"Catch"
"155","Pollock",NA,NA,NA,18.4,NA,NA,NA,635.5,777.4,2017,NA,"Catch"
"156","Northern Windowpane",87.4,35.1,33.9,1.2,NA,NA,44.1,0.5,7.7,2017,NA,"Catch"
"157","Southern Windowpane",440.9,71.5,66.3,5.2,NA,NA,143.9,24.5,201,2017,NA,"Catch"
"158","Ocean Pout",28.2,11.1,10.7,0.4,NA,NA,NA,0.3,16.8,2017,NA,"Catch"
"159","Halibut",107.4,68.3,68.2,0.1,NA,NA,NA,31.7,7.5,2017,NA,"Catch"
"160","Wolffish",1.7,1.6,1.6,0,NA,NA,NA,0.1,0,2017,NA,"Catch"
"161","GB cod",NA,NA,NA,128,NA,NA,NA,38,152,2010,NA,"ACL"
"162","GOM cod",NA,NA,NA,240,NA,NA,NA,566,283,2010,NA,"ACL"
"163","GB Haddock",NA,NA,NA,254,NA,84,NA,449,NA,2010,NA,"ACL"
"164","GOM Haddock",NA,NA,799,26,324,2,NA,9,37,2010,NA,"ACL"
"165","GB Yellowtail Flounder",NA,823,803,20,NA,NA,146,0,52,2010,NA,"ACL"
"166","SNE Yellowtail Flounder",470,310,235,75,NA,NA,135,5,20,2010,NA,"ACL"
"167","CC/GOM Yellowtail Flounder",822,779,729,50,NA,NA,NA,9,35,2010,NA,"ACL"
"168","Plaice",NA,NA,NA,100,NA,NA,NA,32,126,2010,NA,"ACL"
"169","Witch Flounder",899,852,827,25,NA,NA,NA,9,38,2010,NA,"ACL"
"170","GB Winter Flounder",NA,NA,NA,29,NA,NA,NA,0,103,2010,NA,"ACL"
"171","GOM Winter Flounder",231,158,133,25,NA,NA,NA,60,12,2010,NA,"ACL"
"172","SNE Winter Flounder",605,520,NA,NA,NA,NA,NA,53,32,2010,NA,"ACL"
"173","Redfish",NA,NA,NA,90,NA,NA,NA,76,303,2010,NA,"ACL"
"174","White Hake",NA,NA,NA,51,NA,NA,NA,28,113,2010,NA,"ACL"
"175","Pollock",NA,NA,NA,375,NA,NA,NA,NA,NA,2010,NA,"ACL"
"176","Northern Windowpane",161,110,NA,NA,NA,NA,NA,2,49,2010,NA,"ACL"
"177","Southern Windowpane",225,154,NA,NA,NA,NA,NA,2,69,2010,NA,"ACL"
"178","Ocean Pout",253,239,NA,NA,NA,NA,NA,3,11,2010,NA,"ACL"
"179","Halibut",69,30,NA,NA,NA,NA,NA,36,4,2010,NA,"ACL"
"180","Wolffish",77,73,NA,NA,NA,NA,NA,1,3,2010,NA,"ACL"
"181","GB cod",NA,NA,NA,93,NA,NA,NA,48,191,2011,NA,"ACL"
"182","GOM cod",NA,NA,NA,104,NA,NA,NA,597,299,2011,NA,"ACL"
"183","GB Haddock",NA,NA,NA,187,NA,318,NA,342,NA,2011,NA,"ACL"
"184","GOM Haddock",NA,NA,770,8,308,11,NA,9,35,2011,NA,"ACL"
"185","GB Yellowtail Flounder",NA,NA,NA,20,NA,NA,200.8,0,73,2011,NA,"ACL"
"186","SNE Yellowtail Flounder",641,524,404,120,NA,NA,82,7,27,2011,NA,"ACL"
"187","CC/GOM Yellowtail Flounder",992,940,913,27,NA,NA,NA,10,42,2011,NA,"ACL"
"188","Plaice",NA,NA,NA,70,NA,NA,NA,34,138,2011,NA,"ACL"
"189","Witch Flounder",NA,NA,NA,25,NA,NA,NA,14,55,2011,NA,"ACL"
"190","GB Winter Flounder",NA,NA,NA,14,NA,NA,NA,0,111,2011,NA,"ACL"
"191","GOM Winter Flounder",524,329,313,16,NA,NA,NA,163,32,2011,NA,"ACL"
"192","SNE/MA Winter Flounder",842,726,NA,726,NA,NA,NA,72,45,2011,NA,"ACL"
"193","Redfish",NA,NA,NA,36,NA,NA,NA,84,334,2011,NA,"ACL"
"194","White Hake",NA,NA,NA,28,NA,NA,NA,33,132,2011,NA,"ACL"
"195","Pollock",NA,NA,NA,104,NA,NA,NA,769,NA,2011,NA,"ACL"
"196","Northern Windowpane",161,110,NA,110,NA,NA,NA,2,49,2011,NA,"ACL"
"197","Southern Windowpane",225,154,NA,154,NA,NA,NA,2,69,2011,NA,"ACL"
"198","Ocean Pout",253,239,NA,239,NA,NA,NA,3,11,2011,NA,"ACL"
"199","Halibut",76,33,NA,33,NA,NA,NA,39,4,2011,NA,"ACL"
"200","Wolffish",77,73,NA,73,NA,NA,NA,1,3,2011,NA,"ACL"
"201","GB cod",NA,NA,NA,81,NA,NA,NA,51,204,2012,NA,"ACL"
"202","GOM cod",NA,NA,NA,80,NA,NA,NA,253,62,2012,NA,"ACL"
"203","GB Haddock",NA,NA,NA,75,NA,286,NA,307,NA,2012,NA,"ACL"
"204","GOM Haddock",958,912,648,5,259,9,NA,15,22,2012,NA,"ACL"
"205","GB Yellowtail Flounder",547.8,368.3,364.1,4.2,NA,NA,156.9,0,22.6,2012,NA,"ACL"
"206","SNE Yellowtail Flounder",936,760,607,153,NA,NA,127,10,40,2012,NA,"ACL"
"207","CC/GOM Yellowtail Flounder",NA,NA,NA,25,NA,NA,NA,35,23,2012,NA,"ACL"
"208","Plaice",NA,NA,NA,55,NA,NA,NA,36,145,2012,NA,"ACL"
"209","Witch Flounder",NA,NA,NA,22,NA,NA,NA,49,66,2012,NA,"ACL"
"210","GB Winter Flounder",NA,NA,NA,20,NA,NA,NA,0,188,2012,NA,"ACL"
"211","GOM Winter Flounder",NA,715,690,25,NA,NA,NA,272,54,2012,NA,"ACL"
"212","SNE/MA Winter Flounder",603,303,NA,303,NA,NA,NA,175,125,2012,NA,"ACL"
"213","Redfish",NA,NA,NA,34,NA,NA,NA,92,369,2012,NA,"ACL"
"214","White Hake",NA,NA,NA,26,NA,NA,NA,73,109,2012,NA,"ACL"
"215","Pollock",NA,NA,NA,82,NA,NA,NA,754,NA,2012,NA,"ACL"
"216","Northern Windowpane",163,129,NA,129,NA,NA,NA,2,33,2012,NA,"ACL"
"217","Southern Windowpane",381,72,NA,72,NA,NA,NA,39,270,2012,NA,"ACL"
"218","Ocean Pout",240,214,NA,214,NA,NA,NA,3,23,2012,NA,"ACL"
"219","Halibut",83,36,NA,36,NA,NA,NA,43,4,2012,NA,"ACL"
"220","Wolffish",77,73,NA,73,NA,NA,NA,1,3,2012,NA,"ACL"
"221","GB cod",NA,NA,NA,32,NA,NA,NA,20,80,2013,NA,"ACL"
"222","GOM cod",NA,NA,812,18,486,NA,NA,103,51,2013,NA,"ACL"
"223","GB Haddock",NA,NA,NA,85,NA,273,NA,293,NA,2013,NA,"ACL"
"224","GOM Haddock",274,261,185,2,74,3,NA,4,6,2013,NA,"ACL"
"225","GB Yellowtail Flounder",208.5,154.5,152.6,1.9,NA,NA,41.5,NA,4.3,2013,4,"ACL"
"226","SNE Yellowtail Flounder",665,585.7,487.5,98.2,NA,NA,43.6,7,28,2013,NA,"ACL"
"227","CC/GOM Yellowtail Flounder",523,479,466,13,NA,NA,NA,33,11,2013,NA,"ACL"
"228","Plaice",NA,NA,NA,25,NA,NA,NA,31,31,2013,NA,"ACL"
"229","Witch Flounder",751,610,599,11,NA,NA,NA,23,117,2013,NA,"ACL"
"230","GB Winter Flounder",NA,NA,NA,22,NA,NA,NA,NA,113,2013,NA,"ACL"
"231","GOM Winter Flounder",NA,715,688,26,NA,NA,NA,272,54,2013,NA,"ACL"
"232","SNE/MA Winter Flounder",NA,NA,NA,136,NA,NA,NA,235,168,2013,NA,"ACL"
"233","Redfish",NA,NA,NA,40,NA,NA,NA,110,220,2013,NA,"ACL"
"234","White Hake",NA,NA,NA,27,NA,NA,NA,42,84,2013,NA,"ACL"
"235","Pollock",NA,NA,NA,91,NA,NA,NA,936,NA,2013,NA,"ACL"
"236","Northern Windowpane",144,98,NA,98,NA,NA,NA,2,44,2013,NA,"ACL"
"237","Southern Windowpane",527,102,NA,102,NA,NA,183,55,186,2013,NA,"ACL"
"238","Ocean Pout",220,197,NA,197,NA,NA,NA,2,21,2013,NA,"ACL"
"239","Halibut",96,52,NA,52,NA,NA,NA,40,5,2013,NA,"ACL"
"240","Wolffish",65,62,NA,62,NA,NA,NA,1,3,2013,NA,"ACL"
"241","GB cod",NA,NA,NA,33,NA,NA,NA,20,78,2014,NA,"ACL"
"242","GOM cod",NA,NA,811,19,486,NA,NA,103,51,2014,NA,"ACL"
"243","GB Haddock",NA,NA,NA,119,NA,162,NA,192,769,2014,NA,"ACL"
"244","GOM Haddock",641,609,432,4,173,6,NA,10,15,2014,NA,"ACL"
"245","GB Yellowtail Flounder",318.1,254.5,250.6,3.9,NA,NA,50.9,NA,6.6,2014,6.1,"ACL"
"246","SNE Yellowtail Flounder",665,564,462,102,NA,NA,66,7,28,2014,NA,"ACL"
"247","CC/GOM Yellowtail Flounder",523,479,463,16,NA,NA,NA,33,11,2014,NA,"ACL"
"248","Plaice",NA,NA,NA,26,NA,NA,NA,30,30,2014,NA,"ACL"
"249","Witch Flounder",751,610,598,12,NA,NA,NA,23,117,2014,NA,"ACL"
"250","GB Winter Flounder",NA,NA,NA,29,NA,NA,NA,NA,108,2014,NA,"ACL"
"251","GOM Winter Flounder",NA,715,683,32,NA,NA,NA,272,54,2014,NA,"ACL"
"252","SNE/MA Winter Flounder",NA,NA,NA,147,NA,NA,NA,235,168,2014,NA,"ACL"
"253","Redfish",NA,NA,NA,44,NA,NA,NA,115,229,2014,NA,"ACL"
"254","White Hake",NA,NA,NA,30,NA,NA,NA,46,93,2014,NA,"ACL"
"255","Pollock",NA,NA,NA,85,NA,NA,NA,960,NA,2014,NA,"ACL"
"256","Northern Windowpane",144,98,NA,98,NA,NA,NA,2,44,2014,NA,"ACL"
"257","Southern Windowpane",527,102,NA,102,NA,NA,183,55,186,2014,NA,"ACL"
"258","Ocean Pout",220,197,NA,197,NA,NA,NA,2,21,2014,NA,"ACL"
"259","Halibut",106,57,NA,57,NA,NA,NA,44,5,2014,NA,"ACL"
"260","Wolffish",65,62,NA,62,NA,NA,NA,1,3,2014,NA,"ACL"
"261","GB Cod",NA,NA,NA,37,NA,NA,NA,20,79,2015,NA,"ACL"
"262","GOM Cod",366,328,201,6,121,NA,NA,26,13,2015,NA,"ACL"
"263","GB Haddock",NA,NA,NA,193,NA,227,NA,244,975,2015,NA,"ACL"
"264","GOM Haddock",NA,NA,946,12,372,14,NA,11,21,2015,NA,"ACL"
"265","GB Yellowtail Flounder",240,202.9,199,3.9,NA,NA,30.1,NA,2,2015,5,"ACL"
"266","SNE Yellowtail Flounder",666,579,460,119,NA,NA,44,14,28,2015,NA,"ACL"
"267","CC/GOM Yellowtail Flounder",524,458,437,21,NA,NA,NA,38,27,2015,NA,"ACL"
"268","Plaice",NA,NA,NA,27,NA,NA,NA,31,31,2015,NA,"ACL"
"269","Witch Flounder",751,610,596,14,NA,NA,NA,23,117,2015,NA,"ACL"
"270","GB Winter Flounder",NA,NA,NA,18,NA,NA,NA,NA,60,2015,NA,"ACL"
"271","GOM Winter Flounder",489,392,371,21,NA,NA,NA,87,10,2015,NA,"ACL"
"272","SNE/MA Winter Flounder",NA,NA,NA,159,NA,NA,NA,117,184,2015,NA,"ACL"
