YEAR,TANOM,SSBMT,REC000S,SSBRF0,STOCK,SOURCE
2007,0.829966651,9526,18373,NA,GBYTF,2008GARMIIIAppendix
2008,0.849876192,11520,5327,19.72,GBCOD,SAW55
2008,0.849876192,135032,4380,NA,GBHAD,2017HaddockUpdateAssessment
2008,0.849876192,248039,14284.7,NA,GBPOL,2017GroundfishOperationalAssessment
2009,0.667525609,232340,23334.7,NA,GBPOL,2017GroundfishOperationalAssessment
2009,0.667525609,109334,1773,NA,GBHAD,2017HaddockUpdateAssessment
2009,0.667525609,14725,8079,19.72,GBCOD,SAW55
2010,0.776213858,17168,8136,19.72,GBCOD,SAW55
2010,0.776213858,75519,6366,NA,GBHAD,2017HaddockUpdateAssessment
2010,0.776213858,206689,35624.1,NA,GBPOL,2017GroundfishOperationalAssessment
2011,0.902441378,22217,7334,19.72,GBCOD,SAW55
2011,0.902441378,45732,278296,NA,GBHAD,2017HaddockUpdateAssessment
2011,0.902441378,204222,60593,NA,GBPOL,2017GroundfishOperationalAssessment
2012,0.992164859,41227,41319,NA,GBHAD,2017HaddockUpdateAssessment
2012,0.992164859,187597,46442.8,NA,GBPOL,2017GroundfishOperationalAssessment
2013,1.07109363,184690,103664,NA,GBPOL,2017GroundfishOperationalAssessment
2013,1.07109363,107671,23598,NA,GBHAD,2017HaddockUpdateAssessment
2014,1.018174419,181430,43328,NA,GBPOL,2017GroundfishOperationalAssessment
2014,1.018174419,150185,1839273,NA,GBHAD,2017HaddockUpdateAssessment
2015,0.891136099,206701,20064.7,NA,GBPOL,2017GroundfishOperationalAssessment
2015,0.891136099,212734,48629,NA,GBHAD,2017HaddockUpdateAssessment
2016,0.882376989,549938,88436,NA,GBHAD,2017HaddockUpdateAssessment
2016,0.882376989,226371,NA,NA,GBPOL,2017GroundfishOperationalAssessment
