"","Time","Year","Month","Day","Season","ClimScenario","Lat_COG_10thPercentile","Lat_COG_Mean","Lat_COG_90thPercentile"
"115",2023-03-16,"2023","03","16","Spring","SSP5_85",4565.69189947477,4660.08065072401,4748.92921921129
"116",2023-07-16,"2023","07","16","Summer","SSP5_85",4677.01794605373,4759.02275140405,4838.74826373489
"117",2023-10-16,"2023","10","16","Fall","SSP5_85",4669.35613318507,4742.85024837229,4824.92955335878
"118",2024-03-16,"2024","03","16","Spring","SSP5_85",4565.48812904943,4659.00567986435,4747.81780008404
"119",2024-07-16,"2024","07","16","Summer","SSP5_85",4673.44749667764,4755.52719300786,4840.0761882545
"120",2024-10-16,"2024","10","16","Fall","SSP5_85",4673.71134887788,4746.15719511405,4828.66876934642
"121",2025-03-16,"2025","03","16","Spring","SSP5_85",4568.04067290059,4658.68190573847,4747.363912094
"122",2025-07-16,"2025","07","16","Summer","SSP5_85",4675.16224194085,4756.68667547254,4844.04325559911
"123",2025-10-16,"2025","10","16","Fall","SSP5_85",4673.92777688164,4747.85662159438,4828.15199804628
"124",2026-03-16,"2026","03","16","Spring","SSP5_85",4571.36191586776,4659.80625076097,4749.69794036208
"125",2026-07-16,"2026","07","16","Summer","SSP5_85",4673.57866169493,4757.12111950891,4843.3409020698
"126",2026-10-16,"2026","10","16","Fall","SSP5_85",4674.63700211044,4747.79689798477,4830.47853091266
"127",2027-03-16,"2027","03","16","Spring","SSP5_85",4569.36212125517,4662.23270101805,4752.28897238041
"128",2027-07-16,"2027","07","16","Summer","SSP5_85",4674.41666709107,4755.89536932875,4844.94264392519
"129",2027-10-16,"2027","10","16","Fall","SSP5_85",4675.28659521013,4752.28558501702,4832.64432997817
"130",2028-03-16,"2028","03","16","Spring","SSP5_85",4565.60950123701,4660.83176143911,4750.46151553171
"131",2028-07-16,"2028","07","16","Summer","SSP5_85",4675.76523090673,4755.20234625581,4842.94985353226
"132",2028-10-16,"2028","10","16","Fall","SSP5_85",4672.61157569834,4749.24215443216,4830.89696423929
"133",2029-03-16,"2029","03","16","Spring","SSP5_85",4569.59488437568,4662.90089526085,4756.16270419998
"134",2029-07-16,"2029","07","16","Summer","SSP5_85",4675.45099599387,4758.67238068198,4843.02479807767
"135",2029-10-16,"2029","10","16","Fall","SSP5_85",4673.43471249855,4750.18377259712,4830.03829851376
"136",2030-03-16,"2030","03","16","Spring","SSP5_85",4562.47769603352,4660.85423282329,4754.65317355699
"137",2030-07-16,"2030","07","16","Summer","SSP5_85",4679.1120597683,4758.19001212889,4840.2972240182
"138",2030-10-16,"2030","10","16","Fall","SSP5_85",4672.61225342593,4749.95897281755,4830.90879401119
"139",2031-03-16,"2031","03","16","Spring","SSP5_85",4562.1152456561,4661.5628099595,4757.54377280192
"140",2031-07-16,"2031","07","16","Summer","SSP5_85",4680.87518474041,4760.77971461864,4843.35343390897
"141",2031-10-16,"2031","10","16","Fall","SSP5_85",4672.35286085944,4750.42683470899,4830.27854814205
"142",2032-03-16,"2032","03","16","Spring","SSP5_85",4564.78003701968,4662.73553673626,4760.59189418418
"143",2032-07-16,"2032","07","16","Summer","SSP5_85",4680.06613910889,4761.31129795724,4842.31944465652
"144",2032-10-16,"2032","10","16","Fall","SSP5_85",4670.82991456963,4750.6737316636,4831.48807100551
"145",2033-03-16,"2033","03","16","Spring","SSP5_85",4561.50441240624,4664.66163614418,4760.7760522563
"146",2033-07-16,"2033","07","16","Summer","SSP5_85",4677.98507453504,4760.41358963124,4843.57288599611
"147",2033-10-16,"2033","10","16","Fall","SSP5_85",4673.47319392147,4752.4650165399,4832.27452736083
"148",2034-03-16,"2034","03","16","Spring","SSP5_85",4568.65982003781,4668.08152248567,4763.46753966578
"149",2034-07-16,"2034","07","16","Summer","SSP5_85",4681.30042945701,4764.68193762359,4841.32471371284
"150",2034-10-16,"2034","10","16","Fall","SSP5_85",4674.81514785598,4753.57947459119,4836.14314478027
"151",2035-03-16,"2035","03","16","Spring","SSP5_85",4569.31630925802,4671.61798224703,4765.61787937516
"152",2035-07-16,"2035","07","16","Summer","SSP5_85",4679.28427701838,4768.64027654519,4845.03084087083
"153",2035-10-16,"2035","10","16","Fall","SSP5_85",4676.31725700597,4755.57174526682,4837.54088571064
"154",2036-03-16,"2036","03","16","Spring","SSP5_85",4569.84038920583,4670.00620769291,4762.37261497981
"155",2036-07-16,"2036","07","16","Summer","SSP5_85",4680.85672561194,4767.09265126345,4841.9367580897
"156",2036-10-16,"2036","10","16","Fall","SSP5_85",4677.96135235323,4756.56590136541,4839.92150795062
"157",2037-03-16,"2037","03","16","Spring","SSP5_85",4572.44948524746,4671.06351961437,4764.30548446032
"158",2037-07-16,"2037","07","16","Summer","SSP5_85",4676.94742307456,4768.15750311171,4843.68330225575
"159",2037-10-16,"2037","10","16","Fall","SSP5_85",4675.15248905303,4758.36213314459,4842.22465056168
"160",2038-03-16,"2038","03","16","Spring","SSP5_85",4571.29701237612,4670.86104270048,4762.7009299899
"161",2038-07-16,"2038","07","16","Summer","SSP5_85",4679.22124713541,4768.17292033162,4839.65519564686
"162",2038-10-16,"2038","10","16","Fall","SSP5_85",4676.39997017237,4760.83405810946,4843.22344151189
"163",2039-03-16,"2039","03","16","Spring","SSP5_85",4567.79241522192,4672.77509284354,4765.16611812907
"164",2039-07-16,"2039","07","16","Summer","SSP5_85",4682.67360562056,4769.2810874787,4840.25845389647
"165",2039-10-16,"2039","10","16","Fall","SSP5_85",4680.08560650513,4760.93085343085,4844.49196569969
"166",2040-03-16,"2040","03","16","Spring","SSP5_85",4567.06980345118,4671.68986826558,4761.60368994623
"167",2040-07-16,"2040","07","16","Summer","SSP5_85",4686.95427048875,4768.81107836376,4839.28697781503
"168",2040-10-16,"2040","10","16","Fall","SSP5_85",4675.7978704395,4759.85116009256,4843.25815876886
"169",2041-03-16,"2041","03","16","Spring","SSP5_85",4566.09832376586,4670.04890017066,4759.34110978655
"170",2041-07-16,"2041","07","16","Summer","SSP5_85",4682.19570685494,4766.3955104546,4841.55265563551
"171",2041-10-16,"2041","10","16","Fall","SSP5_85",4672.97111235661,4758.07583138918,4842.06281084386
"172",2042-03-16,"2042","03","16","Spring","SSP5_85",4567.85722795731,4671.26943171601,4759.68126767685
"173",2042-07-16,"2042","07","16","Summer","SSP5_85",4689.48180910079,4767.41542809544,4844.10701866903
"174",2042-10-16,"2042","10","16","Fall","SSP5_85",4671.18332652354,4759.80625055997,4843.11401614888
"175",2043-03-16,"2043","03","16","Spring","SSP5_85",4567.69722262981,4671.322444604,4753.32117733355
"176",2043-07-16,"2043","07","16","Summer","SSP5_85",4686.69976926034,4766.71099170133,4847.05398908664
"177",2043-10-16,"2043","10","16","Fall","SSP5_85",4669.42732656887,4757.66034026075,4840.28993784083
"178",2044-03-16,"2044","03","16","Spring","SSP5_85",4570.84182275495,4672.83907092855,4753.36112651078
"179",2044-07-16,"2044","07","16","Summer","SSP5_85",4689.68868545898,4766.03124529486,4847.55347409044
"180",2044-10-16,"2044","10","16","Fall","SSP5_85",4670.34549510161,4758.38458607965,4839.89035019045
"181",2045-03-16,"2045","03","16","Spring","SSP5_85",4570.72759950798,4674.20650918546,4753.34507041943
"182",2045-07-16,"2045","07","16","Summer","SSP5_85",4689.56860225947,4764.18682544783,4851.30156759762
"183",2045-10-16,"2045","10","16","Fall","SSP5_85",4670.52096204972,4754.16685672903,4836.05683801131
"184",2046-03-16,"2046","03","16","Spring","SSP5_85",4575.22493261439,4671.81636849592,4756.21068589804
"185",2046-07-16,"2046","07","16","Summer","SSP5_85",4690.77988508561,4764.01567522163,4847.23716039856
"186",2046-10-16,"2046","10","16","Fall","SSP5_85",4670.2232521904,4753.62251184113,4833.64608684026
"187",2047-03-16,"2047","03","16","Spring","SSP5_85",4578.38273449103,4673.47961270962,4758.28567703821
"188",2047-07-16,"2047","07","16","Summer","SSP5_85",4690.15948385904,4766.83279122389,4850.24667458766
"189",2047-10-16,"2047","10","16","Fall","SSP5_85",4675.51254999454,4754.30490928226,4832.91300015401
"190",2048-03-16,"2048","03","16","Spring","SSP5_85",4575.55862175373,4673.44963024852,4757.25063406879
"191",2048-07-16,"2048","07","16","Summer","SSP5_85",4693.47561904317,4765.99276682159,4849.55940602384
"192",2048-10-16,"2048","10","16","Fall","SSP5_85",4676.99515166259,4754.90854165127,4832.8012582009
"193",2049-03-16,"2049","03","16","Spring","SSP5_85",4578.08296642354,4672.45551890033,4758.57044188972
"194",2049-07-16,"2049","07","16","Summer","SSP5_85",4690.67854341162,4763.72366240312,4846.59854868127
"195",2049-10-16,"2049","10","16","Fall","SSP5_85",4678.26547541618,4755.43212769415,4833.71017372155
"196",2050-03-16,"2050","03","16","Spring","SSP5_85",4584.20296502541,4676.14673361101,4763.60488355858
"197",2050-07-16,"2050","07","16","Summer","SSP5_85",4691.80425984491,4764.90468747345,4846.43344940621
"198",2050-10-16,"2050","10","16","Fall","SSP5_85",4680.14560566101,4758.03731201384,4835.26493306335
"199",2051-03-16,"2051","03","16","Spring","SSP5_85",4584.57739075492,4676.18377636138,4764.15742540657
"200",2051-07-16,"2051","07","16","Summer","SSP5_85",4691.57767497815,4766.12093627756,4848.34674606211
"201",2051-10-16,"2051","10","16","Fall","SSP5_85",4684.32538373569,4756.3445015611,4833.20105300299
"202",2052-03-16,"2052","03","16","Spring","SSP5_85",4588.46014951604,4677.24320071941,4765.15842827959
"203",2052-07-16,"2052","07","16","Summer","SSP5_85",4692.34553053586,4768.30126703083,4847.01684042598
"204",2052-10-16,"2052","10","16","Fall","SSP5_85",4682.13576067882,4758.74824776022,4837.96777352235
"205",2053-03-16,"2053","03","16","Spring","SSP5_85",4583.17846916346,4679.504284912,4764.28878255703
"206",2053-07-16,"2053","07","16","Summer","SSP5_85",4689.81479276536,4768.36202830344,4850.89037382296
"207",2053-10-16,"2053","10","16","Fall","SSP5_85",4681.4472464157,4758.9147844001,4838.43265898082
"208",2054-03-16,"2054","03","16","Spring","SSP5_85",4584.36318483698,4680.52140178543,4766.62110662089
"209",2054-07-16,"2054","07","16","Summer","SSP5_85",4692.20549830086,4766.30917058253,4849.45195000938
"210",2054-10-16,"2054","10","16","Fall","SSP5_85",4676.62971482517,4759.43583945779,4840.07871158778
