"year","Temp_Anomaly","SSP","temp"
1983,-0.773448507266667,"SSP245",6.97307403366667
1984,-0.510453940100001,"SSP245",7.23606860083333
1985,-0.172207306766667,"SSP245",7.57431523416667
1986,0.01053732965,"SSP245",7.75705987058333
1987,-0.564040971516667,"SSP245",7.18248156941667
1988,-0.40067840835,"SSP245",7.34584413258333
1989,-0.627533201266667,"SSP245",7.11898933966667
1990,-0.3560276481,"SSP245",7.39049489283333
1991,0.0399866777333333,"SSP245",7.78650921866667
1992,-1.10441498718333,"SSP245",6.64210755375
1993,-0.4763341891,"SSP245",7.27018835183333
1994,0.268063779983334,"SSP245",8.01458632091667
1995,0.311003263400001,"SSP245",8.05752580433333
1996,-0.16665563685,"SSP245",7.57986690408333
1997,0.132067596733333,"SSP245",7.87859013766667
1998,-0.69709128735,"SSP245",7.04943125358333
1999,0.125588153983333,"SSP245",7.87211069491667
2000,0.326269883233333,"SSP245",8.07279242416667
2001,0.0812748492333331,"SSP245",7.82779739016667
2002,0.407624689566666,"SSP245",8.1541472305
2003,-0.547864156433334,"SSP245",7.1986583845
2004,-1.13513044176667,"SSP245",6.61139209916667
2005,-0.748666494683333,"SSP245",6.99785604625
2006,0.298561356983334,"SSP245",8.04508389791667
2007,-0.492117700766666,"SSP245",7.25440484016667
2008,-0.4736164151,"SSP245",7.27290612583333
2009,-0.3119511686,"SSP245",7.43457137233333
2010,0.280024247233333,"SSP245",8.02654678816667
2011,0.654984435816666,"SSP245",8.40150697675
2012,1.43200361531667,"SSP245",9.17852615625
2013,1.08369787206667,"SSP245",8.830220413
2014,0.916919871483333,"SSP245",8.66344241241667
2015,1.00827850631667,"SSP245",8.75480104725
2016,1.52278328565,"SSP245",9.26930582658333
2017,1.12955600265,"SSP245",8.87607854358333
2018,1.05420982415,"SSP245",8.80073236508333
2019,1.14520496906667,"SSP245",8.89172751
2020,2.10509380348333,"SSP245",9.85161634441667
2021,1.82810884815,"SSP245",9.57463138908333
2022,2.05615652919447,"SSP245",9.8026790701278
2023,0.232425710763875,"SSP245",7.97894825169721
2024,0.595812618795525,"SSP245",8.34233515972886
2025,0.900396739931965,"SSP245",8.6469192808653
2026,1.5077242204752,"SSP245",9.25424676140853
2027,1.27350584899307,"SSP245",9.0200283899264
2028,1.37288575349031,"SSP245",9.11940829442364
2029,1.21171977526297,"SSP245",8.9582423161963
2030,-0.0447550279122844,"SSP245",7.70176751302105
2031,0.181433918425646,"SSP245",7.92795645935898
