"year","Temp_Anomaly","SSP","temp"
2074,2.01097248710479,"SSP126",9.85767563056211
2075,1.52943697685799,"SSP126",9.37614012031531
2076,1.52299907147532,"SSP126",9.36970221493264
2077,2.31141094242582,"SSP126",10.1581140858831
2078,1.86516552237268,"SSP126",9.71186866583
2079,1.90977542355212,"SSP126",9.75647856700944
2080,1.2506122323965,"SSP126",9.09731537585382
2081,1.33651512083078,"SSP126",9.1832182642881
2082,1.9153846287507,"SSP126",9.76208777220802
2083,1.67330785033884,"SSP126",9.52001099379616
2084,2.09532301632532,"SSP126",9.94202615978264
2085,1.3394443965034,"SSP126",9.18614753996072
2086,1.13936085611415,"SSP126",8.98606399957147
2087,1.2897833637497,"SSP126",9.13648650720702
2088,1.53943627398225,"SSP126",9.38613941743957
2089,1.2253052579618,"SSP126",9.07200840141912
2090,1.65715624233969,"SSP126",9.50385938579701
2091,1.35370027929377,"SSP126",9.20040342275109
2092,1.79335003327897,"SSP126",9.64005317673629
2093,2.10434208478264,"SSP126",9.95104522823996
2094,1.87234459055895,"SSP126",9.71904773401627
2095,1.16651187431016,"SSP126",9.01321501776748
2096,1.82248443949315,"SSP126",9.66918758295047
2097,2.08829349952473,"SSP126",9.93499664298205
2098,1.34331712529544,"SSP126",9.19002026875276
2099,1.25384764818689,"SSP126",9.10055079164421
2100,1.42654768620237,"SSP126",9.27325082965969
1959,-1.20839596137398,"SSP245",6.63830718208333
1960,-1.45522017645732,"SSP245",6.391482967
1961,-1.54686793820732,"SSP245",6.29983520525
1962,-1.51139882954065,"SSP245",6.33530431391667
1963,-1.20258783729065,"SSP245",6.64411530616667
1964,-0.864915120373984,"SSP245",6.98178802308333
1965,-1.48498411487398,"SSP245",6.36171902858333
1966,-1.37706328612398,"SSP245",6.46963985733333
1967,-1.42954804604065,"SSP245",6.41715509741667
1968,-1.69958725345732,"SSP245",6.14711589
1969,-1.62798811387398,"SSP245",6.21871502958333
1970,-1.10410922179065,"SSP245",6.74259392166667
1971,-1.19193755904065,"SSP245",6.65476558441667
1972,-0.929877630457317,"SSP245",6.916825513
1973,-0.968862803457317,"SSP245",6.87784034
1974,-0.40186659004065,"SSP245",7.44483655341667
1975,0.189347891542683,"SSP245",8.036051035
1976,0.298645327876017,"SSP245",8.14534847133333
1977,-0.948788856957317,"SSP245",6.8979142865
1978,-1.12224200045732,"SSP245",6.724461143
1979,-1.34510865429065,"SSP245",6.50159448916667
1980,-1.09198760187398,"SSP245",6.75471554158333
1981,-1.41198419170732,"SSP245",6.43471895175
1982,-1.28458271054065,"SSP245",6.56212043291667
1983,-0.873629109790651,"SSP245",6.97307403366667
1984,-0.610634542623984,"SSP245",7.23606860083333
1985,-0.27238790929065,"SSP245",7.57431523416667
1986,-0.0896432728739835,"SSP245",7.75705987058333
1987,-0.66422157404065,"SSP245",7.18248156941667
1988,-0.500859010873984,"SSP245",7.34584413258333
1989,-0.727713803790651,"SSP245",7.11898933966667
1990,-0.456208250623984,"SSP245",7.39049489283333
1991,-0.0601939247906502,"SSP245",7.78650921866667
1992,-1.20459558970732,"SSP245",6.64210755375
1993,-0.576514791623984,"SSP245",7.27018835183333
1994,0.16788317745935,"SSP245",8.01458632091667
1995,0.210822660876017,"SSP245",8.05752580433333
1996,-0.266836239373983,"SSP245",7.57986690408333
1997,0.0318869942093496,"SSP245",7.87859013766667
1998,-0.797271889873984,"SSP245",7.04943125358333
1999,0.0254075514593497,"SSP245",7.87211069491667
2000,0.226089280709349,"SSP245",8.07279242416667
2001,-0.0189057532906505,"SSP245",7.82779739016667
2002,0.307444087042683,"SSP245",8.1541472305
2003,-0.648044758957317,"SSP245",7.1986583845
2004,-1.23531104429065,"SSP245",6.61139209916667
2005,-0.848847097207317,"SSP245",6.99785604625
2006,0.19838075445935,"SSP245",8.04508389791667
2007,-0.59229830329065,"SSP245",7.25440484016667
2008,-0.573797017623984,"SSP245",7.27290612583333
2009,-0.412131771123984,"SSP245",7.43457137233333
2010,0.179843644709349,"SSP245",8.02654678816667
2011,0.554803833292683,"SSP245",8.40150697675
2012,1.33182301279268,"SSP245",9.17852615625
2013,0.983517269542682,"SSP245",8.830220413
2014,0.816739268959349,"SSP245",8.66344241241667
2015,0.908097903792683,"SSP245",8.75480104725
2016,1.42260268312602,"SSP245",9.26930582658333
2017,1.02937540012602,"SSP245",8.87607854358333
2018,0.954029221626017,"SSP245",8.80073236508333
2019,1.04502436654268,"SSP245",8.89172751
2020,2.00491320095935,"SSP245",9.85161634441667
2021,1.72792824562602,"SSP245",9.57463138908333
2022,1.87532982988766,"SSP245",9.72203297334498
2023,0.254671004540522,"SSP245",8.10137414799784
2024,0.607976451864242,"SSP245",8.45467959532156
2025,0.831446215081011,"SSP245",8.67814935853833
2026,1.31019182649097,"SSP245",9.15689496994829
2027,1.12320496650595,"SSP245",8.96990810996327
2028,1.07550674639512,"SSP245",8.92220988985244
2029,0.997899161951232,"SSP245",8.84460230540855
2030,-0.0418118722726684,"SSP245",7.80489127118465
2031,0.137884346739192,"SSP245",7.98458749019651
2032,0.859754969462933,"SSP245",8.70645811292025
2033,0.530797423039252,"SSP245",8.37750056649657
2034,0.474739222641412,"SSP245",8.32144236609873
2035,0.386940457062042,"SSP245",8.23364360051936
2036,0.661108735477792,"SSP245",8.50781187893511
2037,1.48485754690934,"SSP245",9.33156069036666
2038,1.00360917481955,"SSP245",8.85031231827687
2039,1.39261809668565,"SSP245",9.23932124014297
2040,1.04079843825814,"SSP245",8.88750158171546
2041,0.727452409189772,"SSP245",8.57415555264709
2042,1.20934125177247,"SSP245",9.05604439522979
2043,1.11845284973992,"SSP245",8.96515599319724
2044,1.49866830813597,"SSP245",9.34537145159329
2045,1.17072701498227,"SSP245",9.01743015843959
2046,0.751230041873472,"SSP245",8.59793318533079
2047,1.92438909399963,"SSP245",9.77109223745695
2048,1.67865794859697,"SSP245",9.52536109205429
2049,1.91279473867114,"SSP245",9.75949788212846
2050,1.16634241097841,"SSP245",9.01304555443573
2051,0.662635202878102,"SSP245",8.50933834633542
2052,1.68073054411035,"SSP245",9.52743368756767
2053,1.69057196104387,"SSP245",9.53727510450119
2054,1.54512518680993,"SSP245",9.39182833026725
2055,1.39710455251415,"SSP245",9.24380769597147
2056,1.68915535307458,"SSP245",9.5358584965319
2057,2.56032722543865,"SSP245",10.407030368896
2058,1.59262990580962,"SSP245",9.43933304926694
2059,1.36027563254664,"SSP245",9.20697877600396
2060,1.55494846038575,"SSP245",9.40165160384307
2061,1.64455519270091,"SSP245",9.49125833615823
2062,1.13914359533647,"SSP245",8.98584673879379
2063,1.39834893371386,"SSP245",9.24505207717118
2064,1.66609052841346,"SSP245",9.51279367187078
2065,2.05892693862791,"SSP245",9.90563008208523
2066,1.78699158407525,"SSP245",9.63369472753257
2067,1.61509726402561,"SSP245",9.46180040748293
2068,0.895994483310331,"SSP245",8.74269762676765
2069,0.721131242872851,"SSP245",8.56783438633017
2070,1.10154138218181,"SSP245",8.94824452563913
2071,1.54208357141264,"SSP245",9.38878671486996
2072,1.45494258966144,"SSP245",9.30164573311876
2073,2.2742560265191,"SSP245",10.1209591699764
2074,1.76720858419543,"SSP245",9.61391172765275
2075,2.10991910288432,"SSP245",9.95662224634164
2076,2.74344248253001,"SSP245",10.5901456259873
2077,2.96041460673641,"SSP245",10.8071177501937
2078,2.61720419137013,"SSP245",10.4639073348275
2079,2.07737123314277,"SSP245",9.92407437660009
2080,2.16060138414744,"SSP245",10.0073045276048
2081,2.93950000238351,"SSP245",10.7862031458408
2082,2.22971661001638,"SSP245",10.0764197534737
2083,2.35318969065737,"SSP245",10.1998928341147
2084,2.3089964675571,"SSP245",10.1556996110144
2085,1.73509937206049,"SSP245",9.58180251551781
2086,2.49750646537514,"SSP245",10.3442096088325
2087,2.40766691228256,"SSP245",10.2543700557399
2088,2.53748952172196,"SSP245",10.3841926651793
2089,2.27202251164448,"SSP245",10.1187256551018
2090,2.31744560987692,"SSP245",10.1641487533342
2091,2.84268572922461,"SSP245",10.6893888726819
2092,2.68595286511121,"SSP245",10.5326560085685
2093,2.58896075464563,"SSP245",10.4356638981029
2094,2.37417887234178,"SSP245",10.2208820157991
2095,3.17387788473091,"SSP245",11.0205810281882
2096,2.64819921454667,"SSP245",10.494902358004
2097,3.02660286292901,"SSP245",10.8733060063863
2098,3.68554784140611,"SSP245",11.5322509848634
2099,2.80097273387901,"SSP245",10.6476758773363
2100,2.66324046205669,"SSP245",10.509943605514
1959,-1.20839596137398,"SSP370",6.63830718208333
1960,-1.45522017645732,"SSP370",6.391482967
1961,-1.54686793820732,"SSP370",6.29983520525
1962,-1.51139882954065,"SSP370",6.33530431391667
1963,-1.20258783729065,"SSP370",6.64411530616667
1964,-0.864915120373984,"SSP370",6.98178802308333
1965,-1.48498411487398,"SSP370",6.36171902858333
1966,-1.37706328612398,"SSP370",6.46963985733333
1967,-1.42954804604065,"SSP370",6.41715509741667
1968,-1.69958725345732,"SSP370",6.14711589
1969,-1.62798811387398,"SSP370",6.21871502958333
1970,-1.10410922179065,"SSP370",6.74259392166667
1971,-1.19193755904065,"SSP370",6.65476558441667
1972,-0.929877630457317,"SSP370",6.916825513
1973,-0.968862803457317,"SSP370",6.87784034
1974,-0.40186659004065,"SSP370",7.44483655341667
1975,0.189347891542683,"SSP370",8.036051035
1976,0.298645327876017,"SSP370",8.14534847133333
1977,-0.948788856957317,"SSP370",6.8979142865
1978,-1.12224200045732,"SSP370",6.724461143
1979,-1.34510865429065,"SSP370",6.50159448916667
1980,-1.09198760187398,"SSP370",6.75471554158333
1981,-1.41198419170732,"SSP370",6.43471895175
1982,-1.28458271054065,"SSP370",6.56212043291667
1983,-0.873629109790651,"SSP370",6.97307403366667
1984,-0.610634542623984,"SSP370",7.23606860083333
1985,-0.27238790929065,"SSP370",7.57431523416667
1986,-0.0896432728739835,"SSP370",7.75705987058333
1987,-0.66422157404065,"SSP370",7.18248156941667
1988,-0.500859010873984,"SSP370",7.34584413258333
1989,-0.727713803790651,"SSP370",7.11898933966667
1990,-0.456208250623984,"SSP370",7.39049489283333
1991,-0.0601939247906502,"SSP370",7.78650921866667
1992,-1.20459558970732,"SSP370",6.64210755375
1993,-0.576514791623984,"SSP370",7.27018835183333
1994,0.16788317745935,"SSP370",8.01458632091667
1995,0.210822660876017,"SSP370",8.05752580433333
1996,-0.266836239373983,"SSP370",7.57986690408333
1997,0.0318869942093496,"SSP370",7.87859013766667
1998,-0.797271889873984,"SSP370",7.04943125358333
1999,0.0254075514593497,"SSP370",7.87211069491667
2000,0.226089280709349,"SSP370",8.07279242416667
2001,-0.0189057532906505,"SSP370",7.82779739016667
2002,0.307444087042683,"SSP370",8.1541472305
2003,-0.648044758957317,"SSP370",7.1986583845
2004,-1.23531104429065,"SSP370",6.61139209916667
2005,-0.848847097207317,"SSP370",6.99785604625
2006,0.19838075445935,"SSP370",8.04508389791667
2007,-0.59229830329065,"SSP370",7.25440484016667
2008,-0.573797017623984,"SSP370",7.27290612583333
2009,-0.412131771123984,"SSP370",7.43457137233333
2010,0.179843644709349,"SSP370",8.02654678816667
