gffishingyear,q_fy,stockcode,stock_string,spstock2,live_price_nom,live_price_R
2011,3,7,GB Yellowtail Flounder,yellowtailflounderGB,1.3988374,1.3597772
2011,3,8,GOM Cod,codGOM,1.9748724,1.9197272
2011,3,9,GOM Haddock,haddockGOM,2.1597664,2.0994585
2011,3,10,GOM Winter Flounder,winterflounderGOM,2.0106564,1.954512
2011,3,11,Plaice,americanplaiceflounder,1.4355658,1.3954799
2011,3,12,Pollock,pollock,.70916098,.68935883
2011,3,13,Redfish,redfish,.77732992,.75562423
2011,3,14,SNEMA Yellowtail Flounder,yellowtailflounderSNEMA,1.4782684,1.4369901
2011,3,15,White Hake,whitehake,.82053798,.79762578
2011,3,16,Witch Flounder,witchflounder,2.0178418,1.9614968
2011,3,17,SNEMA Winter Flounder,,2.0998487,2.0412138
2011,4,1,CCGOM Yellowtail Flounder,yellowtailflounderCCGOM,1.2072783,1.1763325
2011,4,2,GBE Cod,codGB,2.2246964,2.1676714
2011,4,3,GBW Cod,codGB,2.0350106,1.9828478
2011,4,4,GBE Haddock,haddockGB,1.40734,1.3712661
2011,4,5,GBW Haddock,haddockGB,1.3972194,1.361405
2011,4,6,GB Winter Flounder,winterflounderGB,1.9788572,1.9281337
2011,4,7,GB Yellowtail Flounder,yellowtailflounderGB,1.1351694,1.1060719
2011,4,8,GOM Cod,codGOM,2.1797676,2.1238945
2011,4,9,GOM Haddock,haddockGOM,1.9153692,1.8662732
2011,4,10,GOM Winter Flounder,winterflounderGOM,1.7604043,1.7152805
2011,4,11,Plaice,americanplaiceflounder,1.6687176,1.6259439
2011,4,12,Pollock,pollock,.90049082,.87740886
2011,4,13,Redfish,redfish,.74462664,.72553986
2011,4,14,SNEMA Yellowtail Flounder,yellowtailflounderSNEMA,1.4202341,1.3838297
2011,4,15,White Hake,whitehake,1.0711966,1.043739
2011,4,16,Witch Flounder,witchflounder,1.8033139,1.7570901
2011,4,17,SNEMA Winter Flounder,,2.6226563,2.5554307
2012,1,1,CCGOM Yellowtail Flounder,yellowtailflounderCCGOM,1.2854991,1.2599534
2012,1,2,GBE Cod,codGB,2.0988657,2.0571566
2012,1,3,GBW Cod,codGB,2.166096,2.1230509
2012,1,4,GBE Haddock,haddockGB,1.9736662,1.9344451
2012,1,5,GBW Haddock,haddockGB,1.9851881,1.9457381
2012,1,6,GB Winter Flounder,winterflounderGB,1.7873762,1.751857
2012,1,7,GB Yellowtail Flounder,yellowtailflounderGB,1.5192616,1.4890705
2012,1,8,GOM Cod,codGOM,2.5226233,2.4724932
2012,1,9,GOM Haddock,haddockGOM,2.6687741,2.6157396
2012,1,10,GOM Winter Flounder,winterflounderGOM,1.8761632,1.8388797
2012,1,11,Plaice,americanplaiceflounder,1.4557534,1.4268245
