Stock,Total,DirectedFishery,Sector,Common Pool,Recreational,Herring Fishery,Scallop Fishery,State Water,Other,Year,Small Mesh,data_type
Ocean Pout,59.3,33.2,27.3,5.9,NA,NA,NA,1.5,24.6,2013,NA,Catch
Halibut,79,54.7,53.8,0.9,NA,NA,NA,22.8,1.5,2013,NA,Catch
Wolffish,19.1,17.1,17.1,0,NA,NA,NA,1.3,0.7,2013,NA,Catch
GB Cod,1514.4,1386.3,1364.3,22,NA,NA,NA,19.5,108.6,2014,NA,Catch
GOM Cod,1394.9,1286.5,652.2,11.1,623.3,NA,NA,38.2,70.2,2014,NA,Catch
GB Haddock,6364,5449.1,5448.3,0.8,NA,113.5,NA,8.1,793.4,2014,NA,Catch
GOM Haddock,1019.2,983.3,323.8,0.9,658.6,NA,NA,4.8,31.1,2014,NA,Catch
GB Yellowtail Flounder,122.8,62.5,62.4,0.1,NA,NA,59.3,NA,0,2014,1.1,Catch
SNE/MA Yellowtail Flounder,497.1,400.4,313,87.4,NA,NA,64.8,0.6,31.3,2014,NA,Catch
CC/GOM Yellowtail Flounder,335.1,250.5,249.4,1,NA,NA,NA,45.8,38.9,2014,NA,Catch
Plaice,1342.3,1300.9,1292.8,8.1,NA,NA,NA,17.5,23.8,2014,NA,Catch
Witch Flounder,624,515.4,514.2,1.2,NA,NA,NA,38.3,70.4,2014,NA,Catch
GB Winter Flounder,1193.2,1149.3,1149.3,0,NA,NA,NA,NA,43.8,2014,NA,Catch
GOM Winter Flounder,240.8,124.3,123.7,0.6,NA,NA,NA,113.3,3.2,2014,NA,Catch
SNE/MA Winter Flounder,703.2,545.8,489.9,55.9,NA,NA,NA,71.1,86.3,2014,NA,Catch
Redfish,4748.4,4686.9,4681.9,5,NA,NA,NA,18.1,43.5,2014,NA,Catch
White Hake,2058.2,1748.7,1740.1,8.5,NA,NA,NA,1.5,308,2014,NA,Catch
Pollock,4753.7,4016.4,3971.6,44.8,NA,NA,NA,542.9,194.4,2014,NA,Catch
Northern Windowpane,269.3,157.7,157.4,0.3,NA,NA,NA,2.7,108.9,2014,NA,Catch
Southern Windowpane,478,96.3,68.2,28.1,NA,NA,140,23.4,218.2,2014,NA,Catch
Ocean Pout,120.2,33.1,30.8,2.3,NA,NA,NA,3.9,83.2,2014,NA,Catch
Halibut,78.6,47.8,45.9,1.9,NA,NA,NA,28.7,2.1,2014,NA,Catch
Wolffish,15.1,14.3,14.3,NA,NA,NA,NA,0.7,0.2,2014,NA,Catch
GB Cod,1835.4,1636.8,1601.1,35.8,NA,NA,NA,45.5,153,2015,NA,Catch
GOM Cod,324.8,270.9,181.6,4.8,84.5,NA,NA,46.4,7.5,2015,NA,Catch
GB Haddock,6003.5,5074.7,5074.4,0.3,NA,235.5,NA,25,668.3,2015,NA,Catch
GOM Haddock,1139.9,1111.2,726.2,3.1,381.9,NA,NA,4,24.6,2015,NA,Catch
GB Yellowtail Flounder,68.2,38.4,38.4,0,NA,NA,29.8,NA,0,2015,0.1,Catch
SNE/MA Yellowtail Flounder,326.6,283.5,174.4,109.2,NA,NA,34.6,2.2,6.3,2015,NA,Catch
CC/GOM Yellowtail Flounder,465.6,385.1,371.7,13.4,NA,NA,NA,52.6,27.9,2015,NA,Catch
Plaice,1425.1,1379.9,1366,13.9,NA,NA,NA,23.3,21.8,2015,NA,Catch
Witch Flounder,639.4,536.9,523.2,13.8,NA,NA,NA,40.2,62.3,2015,NA,Catch
GB Winter Flounder,886.5,868.8,868.8,0,NA,NA,NA,NA,17.7,2015,NA,Catch
GOM Winter Flounder,205.8,121,117.6,3.5,NA,NA,NA,79.8,5,2015,NA,Catch
SNE/MA Winter Flounder,886.7,688,583.4,104.6,NA,NA,NA,85.2,113.5,2015,NA,Catch
Redfish,5291.8,5284.6,5284.3,0.3,NA,NA,NA,4.3,2.8,2015,NA,Catch
White Hake,1606.6,1599.1,1598.8,0.3,NA,NA,NA,0.7,6.8,2015,NA,Catch
Pollock,3995.1,2923.9,2876.9,47,NA,NA,NA,441.5,629.7,2015,NA,Catch
Northern Windowpane,189.8,73.6,73.6,0,NA,NA,NA,1.3,114.9,2015,NA,Catch
Southern Windowpane,643.4,137.6,90.4,47.2,NA,NA,210.6,39.1,256.1,2015,NA,Catch
Ocean Pout,76.3,52.3,44.1,8.2,NA,NA,NA,1.7,22.3,2015,NA,Catch
Halibut,102,59,58.5,0.4,NA,NA,NA,41.1,1.9,2015,NA,Catch
Wolffish,19.7,18.7,18.7,NA,NA,NA,NA,0.7,0.4,2015,NA,Catch
GB Cod,1132.1,596.6,582.3,14.3,NA,NA,NA,77.5,458,2016,NA,Catch
GOM Cod,633.7,547.4,260.4,6.1,280.9,NA,NA,77.3,9,2016,NA,Catch
GB Haddock,4790.7,4391.3,4390.3,1,NA,118.9,NA,14.1,266.4,2016,NA,Catch
GOM Haddock,2583.2,2473.5,1576.1,10.4,887,1.9,NA,9.2,98.5,2016,NA,Catch
GB Yellowtail Flounder,30.7,23.9,23.9,NA,NA,NA,2.1,NA,0,2016,4.8,Catch
SNE/MA Yellowtail Flounder,84.7,62.5,44.5,18,NA,NA,10.7,0.7,10.8,2016,NA,Catch
CC/GOM Yellowtail Flounder,360.4,261,248.8,12.1,NA,NA,NA,50.8,48.7,2016,NA,Catch
Plaice,1208.9,1139.3,1121.9,17.4,NA,NA,NA,36,33.7,2016,NA,Catch
Witch Flounder,460.3,358.8,351.4,7.4,NA,NA,NA,46.2,55.2,2016,NA,Catch
GB Winter Flounder,426.9,422.6,422.6,NA,NA,NA,NA,NA,4.3,2016,NA,Catch
GOM Winter Flounder,247.7,111.9,109.2,2.7,NA,NA,NA,130.7,5.1,2016,NA,Catch
SNE/MA Winter Flounder,597.2,453.3,396.6,56.7,NA,NA,NA,26.1,117.8,2016,NA,Catch
Redfish,4091.6,4078.1,4077.6,0.4,NA,NA,NA,4.7,8.8,2016,NA,Catch
White Hake,1483.5,1472.2,1471.5,0.7,NA,NA,NA,1.2,10,2016,NA,Catch
Pollock,3998.8,2985.1,2961.5,23.6,NA,NA,NA,631.9,381.8,2016,NA,Catch
Northern Windowpane,83.7,45,45,0,NA,NA,NA,0.7,37.9,2016,NA,Catch
Southern Windowpane,417.2,126.7,108.3,18.4,NA,NA,84.4,28,178.1,2016,NA,Catch
Ocean Pout,43.3,17.1,16.3,0.8,NA,NA,NA,0.4,25.8,2016,NA,Catch
Halibut,108,56.9,56.7,0.2,NA,NA,NA,47.8,3.3,2016,NA,Catch
Wolffish,0.8,0.6,0.6,0,NA,NA,NA,0,0.2,2016,NA,Catch
GB Cod,522.5,446,439.5,6.4,NA,NA,NA,9.7,66.8,2017,NA,Catch
GOM Cod,612.6,514.3,260.6,8.2,245.4,NA,NA,69.5,28.9,2017,NA,Catch
GB Haddock,4330.7,4090.5,4090.2,0.3,NA,47.9,NA,12.3,180,2017,NA,Catch
GOM Haddock,3145.6,3060,2250.9,14.1,795,NA,NA,29.4,56.2,2017,NA,Catch
GB Yellowtail Flounder,84,31,31,NA,NA,NA,52.6,NA,0,2017,0.4,Catch
SNE/MA Yellowtail Flounder,24.4,14.5,10.5,4,NA,NA,4.3,1.1,4.6,2017,NA,Catch
CC/GOM Yellowtail Flounder,311.5,205.7,196.3,9.4,NA,NA,NA,71.9,33.9,2017,NA,Catch
Plaice,1132.8,1078.3,1068.9,9.3,NA,NA,NA,36.6,18,2017,NA,Catch
Witch Flounder,591.2,494.7,486.5,8.2,NA,NA,NA,49.7,46.8,2017,NA,Catch
GB Winter Flounder,390.9,377.6,377.6,NA,NA,NA,NA,NA,13.3,2017,NA,Catch
GOM Winter Flounder,308.1,113.8,111,2.8,NA,NA,NA,185.3,9,2017,NA,Catch
